video,arm,budget_pct,seed,n_frames,n_shots,n_windows,n_gold,n_admitted,M1,M2,M3,note
Abuse028,A_production,10.4816,,1412,20,1,76,148,1.0,0.07894736842105263,0.04054054054054054,natural retention
Abuse028,C_uniform,5.0,,1412,20,1,76,70,1.0,0.039473684210526314,0.04285714285714286,
Abuse028,D_random,5.0,0,1412,20,1,76,70,1.0,0.039473684210526314,0.04285714285714286,
Abuse028,D_random,5.0,1,1412,20,1,76,70,1.0,0.06578947368421052,0.07142857142857142,
Abuse028,D_random,5.0,2,1412,20,1,76,70,1.0,0.013157894736842105,0.014285714285714285,
Abuse028,D_random,5.0,3,1412,20,1,76,70,1.0,0.039473684210526314,0.04285714285714286,
Abuse028,D_random,5.0,4,1412,20,1,76,70,1.0,0.05263157894736842,0.05714285714285714,
Abuse028,E_action_topk,5.0,,1412,20,1,76,70,0.0,0.0,0.0,R0 codec anchor at matched budget
Abuse028,F_shot1_action,5.0,,1412,20,1,76,70,0.0,0.0,0.0,floor=20/70 (28.6% of budget)
Abuse028,G_shot2_action,5.0,,1412,20,1,76,70,0.0,0.0,0.0,floor=40/70 (57.1% of budget)
Abuse028,H_shot1_mid,5.0,,1412,20,1,76,70,1.0,0.039473684210526314,0.04285714285714286,floor=20/70 (28.6% of budget)
Abuse028,I_shot2_mid,5.0,,1412,20,1,76,70,1.0,0.039473684210526314,0.04285714285714286,floor=40/70 (57.1% of budget)
Abuse028,C_uniform,10.0,,1412,20,1,76,141,1.0,0.09210526315789473,0.04964539007092199,
Abuse028,D_random,10.0,0,1412,20,1,76,141,1.0,0.05263157894736842,0.028368794326241134,
Abuse028,D_random,10.0,1,1412,20,1,76,141,1.0,0.05263157894736842,0.028368794326241134,
Abuse028,D_random,10.0,2,1412,20,1,76,141,1.0,0.039473684210526314,0.02127659574468085,
Abuse028,D_random,10.0,3,1412,20,1,76,141,1.0,0.10526315789473684,0.05673758865248227,
Abuse028,D_random,10.0,4,1412,20,1,76,141,1.0,0.13157894736842105,0.07092198581560284,
Abuse028,E_action_topk,10.0,,1412,20,1,76,141,0.0,0.0,0.0,R0 codec anchor at matched budget
Abuse028,F_shot1_action,10.0,,1412,20,1,76,141,0.0,0.0,0.0,floor=20/141 (14.2% of budget)
Abuse028,G_shot2_action,10.0,,1412,20,1,76,141,0.0,0.0,0.0,floor=40/141 (28.4% of budget)
Abuse028,H_shot1_mid,10.0,,1412,20,1,76,141,1.0,0.09210526315789473,0.04964539007092199,floor=20/141 (14.2% of budget)
Abuse028,I_shot2_mid,10.0,,1412,20,1,76,141,1.0,0.07894736842105263,0.0425531914893617,floor=40/141 (28.4% of budget)
Abuse028,C_uniform,10.5,,1412,20,1,76,148,1.0,0.10526315789473684,0.05405405405405406,
Abuse028,D_random,10.5,0,1412,20,1,76,148,1.0,0.05263157894736842,0.02702702702702703,
Abuse028,D_random,10.5,1,1412,20,1,76,148,1.0,0.06578947368421052,0.033783783783783786,
Abuse028,D_random,10.5,2,1412,20,1,76,148,1.0,0.05263157894736842,0.02702702702702703,
Abuse028,D_random,10.5,3,1412,20,1,76,148,1.0,0.10526315789473684,0.05405405405405406,
Abuse028,D_random,10.5,4,1412,20,1,76,148,1.0,0.11842105263157894,0.060810810810810814,
Abuse028,E_action_topk,10.5,,1412,20,1,76,148,0.0,0.0,0.0,R0 codec anchor at matched budget
Abuse028,F_shot1_action,10.5,,1412,20,1,76,148,0.0,0.0,0.0,floor=20/148 (13.5% of budget)
Abuse028,G_shot2_action,10.5,,1412,20,1,76,148,0.0,0.0,0.0,floor=40/148 (27.0% of budget)
Abuse028,H_shot1_mid,10.5,,1412,20,1,76,148,1.0,0.09210526315789473,0.0472972972972973,floor=20/148 (13.5% of budget)
Abuse028,I_shot2_mid,10.5,,1412,20,1,76,148,1.0,0.09210526315789473,0.0472972972972973,floor=40/148 (27.0% of budget)
Abuse028,C_uniform,20.0,,1412,20,1,76,282,1.0,0.19736842105263158,0.05319148936170213,
Abuse028,D_random,20.0,0,1412,20,1,76,282,1.0,0.11842105263157894,0.031914893617021274,
Abuse028,D_random,20.0,1,1412,20,1,76,282,1.0,0.18421052631578946,0.04964539007092199,
Abuse028,D_random,20.0,2,1412,20,1,76,282,1.0,0.11842105263157894,0.031914893617021274,
Abuse028,D_random,20.0,3,1412,20,1,76,282,1.0,0.18421052631578946,0.04964539007092199,
Abuse028,D_random,20.0,4,1412,20,1,76,282,1.0,0.19736842105263158,0.05319148936170213,
Abuse028,E_action_topk,20.0,,1412,20,1,76,282,1.0,0.19736842105263158,0.05319148936170213,R0 codec anchor at matched budget
Abuse028,F_shot1_action,20.0,,1412,20,1,76,282,0.0,0.0,0.0,floor=20/282 (7.1% of budget)
Abuse028,G_shot2_action,20.0,,1412,20,1,76,282,0.0,0.0,0.0,floor=40/282 (14.2% of budget)
Abuse028,H_shot1_mid,20.0,,1412,20,1,76,282,1.0,0.19736842105263158,0.05319148936170213,floor=20/282 (7.1% of budget)
Abuse028,I_shot2_mid,20.0,,1412,20,1,76,282,1.0,0.18421052631578946,0.04964539007092199,floor=40/282 (14.2% of budget)
Abuse028,C_uniform,30.0,,1412,20,1,76,423,1.0,0.2894736842105263,0.05200945626477541,
Abuse028,D_random,30.0,0,1412,20,1,76,423,1.0,0.19736842105263158,0.03546099290780142,
Abuse028,D_random,30.0,1,1412,20,1,76,423,1.0,0.2236842105263158,0.04018912529550828,
Abuse028,D_random,30.0,2,1412,20,1,76,423,1.0,0.23684210526315788,0.0425531914893617,
Abuse028,D_random,30.0,3,1412,20,1,76,423,1.0,0.3815789473684211,0.06855791962174941,
Abuse028,D_random,30.0,4,1412,20,1,76,423,1.0,0.3157894736842105,0.05673758865248227,
Abuse028,E_action_topk,30.0,,1412,20,1,76,423,1.0,0.39473684210526316,0.07092198581560284,R0 codec anchor at matched budget
Abuse028,F_shot1_action,30.0,,1412,20,1,76,423,0.0,0.0,0.0,floor=20/423 (4.7% of budget)
Abuse028,G_shot2_action,30.0,,1412,20,1,76,423,0.0,0.0,0.0,floor=40/423 (9.5% of budget)
Abuse028,H_shot1_mid,30.0,,1412,20,1,76,423,1.0,0.2894736842105263,0.05200945626477541,floor=20/423 (4.7% of budget)
Abuse028,I_shot2_mid,30.0,,1412,20,1,76,423,1.0,0.27631578947368424,0.04964539007092199,floor=40/423 (9.5% of budget)
Abuse030,A_production,10.4922,,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,natural retention
Abuse030,C_uniform,5.0,,1544,55,1,86,77,1.0,0.05813953488372093,0.06493506493506493,
Abuse030,D_random,5.0,0,1544,55,1,86,77,1.0,0.06976744186046512,0.07792207792207792,
Abuse030,D_random,5.0,1,1544,55,1,86,77,1.0,0.046511627906976744,0.05194805194805195,
Abuse030,D_random,5.0,2,1544,55,1,86,77,1.0,0.05813953488372093,0.06493506493506493,
Abuse030,D_random,5.0,3,1544,55,1,86,77,1.0,0.046511627906976744,0.05194805194805195,
Abuse030,D_random,5.0,4,1544,55,1,86,77,1.0,0.06976744186046512,0.07792207792207792,
Abuse030,E_action_topk,5.0,,1544,55,1,86,77,0.0,0.0,0.0,R0 codec anchor at matched budget
Abuse030,F_shot1_action,5.0,,1544,55,1,86,77,1.0,0.05813953488372093,0.06493506493506493,floor=55/77 (71.4% of budget)
Abuse030,G_shot2_action,5.0,,1544,55,1,86,77,1.0,0.06976744186046512,0.07792207792207792,floor=77/77 (100.0% of budget)
Abuse030,H_shot1_mid,5.0,,1544,55,1,86,77,1.0,0.046511627906976744,0.05194805194805195,floor=55/77 (71.4% of budget)
Abuse030,I_shot2_mid,5.0,,1544,55,1,86,77,1.0,0.05813953488372093,0.06493506493506493,floor=77/77 (100.0% of budget)
Abuse030,C_uniform,10.0,,1544,55,1,86,154,1.0,0.09302325581395349,0.05194805194805195,
Abuse030,D_random,10.0,0,1544,55,1,86,154,1.0,0.09302325581395349,0.05194805194805195,
Abuse030,D_random,10.0,1,1544,55,1,86,154,1.0,0.11627906976744186,0.06493506493506493,
Abuse030,D_random,10.0,2,1544,55,1,86,154,1.0,0.11627906976744186,0.06493506493506493,
Abuse030,D_random,10.0,3,1544,55,1,86,154,1.0,0.13953488372093023,0.07792207792207792,
Abuse030,D_random,10.0,4,1544,55,1,86,154,1.0,0.13953488372093023,0.07792207792207792,
Abuse030,E_action_topk,10.0,,1544,55,1,86,154,1.0,0.011627906976744186,0.006493506493506494,R0 codec anchor at matched budget
Abuse030,F_shot1_action,10.0,,1544,55,1,86,154,1.0,0.10465116279069768,0.05844155844155844,floor=55/154 (35.7% of budget)
Abuse030,G_shot2_action,10.0,,1544,55,1,86,154,1.0,0.13953488372093023,0.07792207792207792,floor=110/154 (71.4% of budget)
Abuse030,H_shot1_mid,10.0,,1544,55,1,86,154,1.0,0.10465116279069768,0.05844155844155844,floor=55/154 (35.7% of budget)
Abuse030,I_shot2_mid,10.0,,1544,55,1,86,154,1.0,0.10465116279069768,0.05844155844155844,floor=110/154 (71.4% of budget)
Abuse030,C_uniform,10.5,,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,0,1544,55,1,86,162,1.0,0.11627906976744186,0.06172839506172839,
Abuse030,D_random,10.5,1,1544,55,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
