video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Abuse028,A_production,10.4816,,1412,1,76,148,1.0,0.07894736842105263,0.04054054054054054,natural retention
Abuse028,C_uniform,5.0,,1412,1,76,70,1.0,0.039473684210526314,0.04285714285714286,
Abuse028,D_random,5.0,0,1412,1,76,70,1.0,0.039473684210526314,0.04285714285714286,
Abuse028,D_random,5.0,1,1412,1,76,70,1.0,0.06578947368421052,0.07142857142857142,
Abuse028,D_random,5.0,2,1412,1,76,70,1.0,0.013157894736842105,0.014285714285714285,
Abuse028,D_random,5.0,3,1412,1,76,70,1.0,0.039473684210526314,0.04285714285714286,
Abuse028,D_random,5.0,4,1412,1,76,70,1.0,0.05263157894736842,0.05714285714285714,
Abuse028,C_uniform,10.0,,1412,1,76,141,1.0,0.09210526315789473,0.04964539007092199,
Abuse028,D_random,10.0,0,1412,1,76,141,1.0,0.05263157894736842,0.028368794326241134,
Abuse028,D_random,10.0,1,1412,1,76,141,1.0,0.05263157894736842,0.028368794326241134,
Abuse028,D_random,10.0,2,1412,1,76,141,1.0,0.039473684210526314,0.02127659574468085,
Abuse028,D_random,10.0,3,1412,1,76,141,1.0,0.10526315789473684,0.05673758865248227,
Abuse028,D_random,10.0,4,1412,1,76,141,1.0,0.13157894736842105,0.07092198581560284,
Abuse028,C_uniform,10.5,,1412,1,76,148,1.0,0.10526315789473684,0.05405405405405406,
Abuse028,D_random,10.5,0,1412,1,76,148,1.0,0.05263157894736842,0.02702702702702703,
Abuse028,D_random,10.5,1,1412,1,76,148,1.0,0.06578947368421052,0.033783783783783786,
Abuse028,D_random,10.5,2,1412,1,76,148,1.0,0.05263157894736842,0.02702702702702703,
Abuse028,D_random,10.5,3,1412,1,76,148,1.0,0.10526315789473684,0.05405405405405406,
Abuse028,D_random,10.5,4,1412,1,76,148,1.0,0.11842105263157894,0.060810810810810814,
Abuse028,C_uniform,20.0,,1412,1,76,282,1.0,0.19736842105263158,0.05319148936170213,
Abuse028,D_random,20.0,0,1412,1,76,282,1.0,0.11842105263157894,0.031914893617021274,
Abuse028,D_random,20.0,1,1412,1,76,282,1.0,0.18421052631578946,0.04964539007092199,
Abuse028,D_random,20.0,2,1412,1,76,282,1.0,0.11842105263157894,0.031914893617021274,
Abuse028,D_random,20.0,3,1412,1,76,282,1.0,0.18421052631578946,0.04964539007092199,
Abuse028,D_random,20.0,4,1412,1,76,282,1.0,0.19736842105263158,0.05319148936170213,
Abuse028,C_uniform,30.0,,1412,1,76,423,1.0,0.2894736842105263,0.05200945626477541,
Abuse028,D_random,30.0,0,1412,1,76,423,1.0,0.19736842105263158,0.03546099290780142,
Abuse028,D_random,30.0,1,1412,1,76,423,1.0,0.2236842105263158,0.04018912529550828,
Abuse028,D_random,30.0,2,1412,1,76,423,1.0,0.23684210526315788,0.0425531914893617,
Abuse028,D_random,30.0,3,1412,1,76,423,1.0,0.3815789473684211,0.06855791962174941,
Abuse028,D_random,30.0,4,1412,1,76,423,1.0,0.3157894736842105,0.05673758865248227,
Abuse030,A_production,10.4922,,1544,1,86,162,1.0,0.10465116279069768,0.05555555555555555,natural retention
Abuse030,C_uniform,5.0,,1544,1,86,77,1.0,0.05813953488372093,0.06493506493506493,
Abuse030,D_random,5.0,0,1544,1,86,77,1.0,0.06976744186046512,0.07792207792207792,
Abuse030,D_random,5.0,1,1544,1,86,77,1.0,0.046511627906976744,0.05194805194805195,
Abuse030,D_random,5.0,2,1544,1,86,77,1.0,0.05813953488372093,0.06493506493506493,
Abuse030,D_random,5.0,3,1544,1,86,77,1.0,0.046511627906976744,0.05194805194805195,
Abuse030,D_random,5.0,4,1544,1,86,77,1.0,0.06976744186046512,0.07792207792207792,
Abuse030,C_uniform,10.0,,1544,1,86,154,1.0,0.09302325581395349,0.05194805194805195,
Abuse030,D_random,10.0,0,1544,1,86,154,1.0,0.09302325581395349,0.05194805194805195,
Abuse030,D_random,10.0,1,1544,1,86,154,1.0,0.11627906976744186,0.06493506493506493,
Abuse030,D_random,10.0,2,1544,1,86,154,1.0,0.11627906976744186,0.06493506493506493,
Abuse030,D_random,10.0,3,1544,1,86,154,1.0,0.13953488372093023,0.07792207792207792,
Abuse030,D_random,10.0,4,1544,1,86,154,1.0,0.13953488372093023,0.07792207792207792,
Abuse030,C_uniform,10.5,,1544,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,0,1544,1,86,162,1.0,0.11627906976744186,0.06172839506172839,
Abuse030,D_random,10.5,1,1544,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,2,1544,1,86,162,1.0,0.10465116279069768,0.05555555555555555,
Abuse030,D_random,10.5,3,1544,1,86,162,1.0,0.13953488372093023,0.07407407407407407,
Abuse030,D_random,10.5,4,1544,1,86,162,1.0,0.16279069767441862,0.08641975308641975,
Abuse030,C_uniform,20.0,,1544,1,86,308,1.0,0.19767441860465115,0.05519480519480519,
Abuse030,D_random,20.0,0,1544,1,86,308,1.0,0.26744186046511625,0.07467532467532467,
Abuse030,D_random,20.0,1,1544,1,86,308,1.0,0.12790697674418605,0.03571428571428571,
Abuse030,D_random,20.0,2,1544,1,86,308,1.0,0.16279069767441862,0.045454545454545456,
Abuse030,D_random,20.0,3,1544,1,86,308,1.0,0.2441860465116279,0.06818181818181818,
Abuse030,D_random,20.0,4,1544,1,86,308,1.0,0.22093023255813954,0.06168831168831169,
Abuse030,C_uniform,30.0,,1544,1,86,463,1.0,0.3023255813953488,0.056155507559395246,
Abuse030,D_random,30.0,0,1544,1,86,463,1.0,0.313953488372093,0.058315334773218146,
Abuse030,D_random,30.0,1,1544,1,86,463,1.0,0.313953488372093,0.058315334773218146,
Abuse030,D_random,30.0,2,1544,1,86,463,1.0,0.3023255813953488,0.056155507559395246,
Abuse030,D_random,30.0,3,1544,1,86,463,1.0,0.38372093023255816,0.07127429805615551,
Abuse030,D_random,30.0,4,1544,1,86,463,1.0,0.26744186046511625,0.04967602591792657,
Arrest001,A_production,10.4465,,2374,1,301,248,1.0,0.12292358803986711,0.14919354838709678,natural retention
Arrest001,C_uniform,5.0,,2374,1,301,118,1.0,0.04983388704318937,0.1271186440677966,
Arrest001,D_random,5.0,0,2374,1,301,118,1.0,0.05647840531561462,0.1440677966101695,
Arrest001,D_random,5.0,1,2374,1,301,118,1.0,0.04318936877076412,0.11016949152542373,
Arrest001,D_random,5.0,2,2374,1,301,118,1.0,0.05647840531561462,0.1440677966101695,
Arrest001,D_random,5.0,3,2374,1,301,118,1.0,0.04318936877076412,0.11016949152542373,
Arrest001,D_random,5.0,4,2374,1,301,118,1.0,0.04983388704318937,0.1271186440677966,
Arrest001,C_uniform,10.0,,2374,1,301,237,1.0,0.09966777408637874,0.12658227848101267,
Arrest001,D_random,10.0,0,2374,1,301,237,1.0,0.08970099667774087,0.11392405063291139,
Arrest001,D_random,10.0,1,2374,1,301,237,1.0,0.06976744186046512,0.08860759493670886,
Arrest001,D_random,10.0,2,2374,1,301,237,1.0,0.10963455149501661,0.13924050632911392,
Arrest001,D_random,10.0,3,2374,1,301,237,1.0,0.11960132890365449,0.1518987341772152,
