video_id,qid,question_type,question_family,gold_span_length_s,span_bucket,survived,total_frames,survivor_count,retention_pct
4882821564,1,CW,causal,16.0,long,True,2697,360,13.348
2435100235,7,CH,causal,7.0,long,True,1906,256,13.431
2834146886,8,TN,temporal,7.1,long,True,1881,251,13.344
8132842161,2,CW,causal,12.1,long,True,1105,148,13.394
4260763967,4,CW,causal,2.7,long,True,1017,136,13.373
3462517143,2,CW,causal,4.4,long,True,722,98,13.573
3441428429,10,TN,temporal,6.7,long,True,2697,360,13.348
6356067859,6,TN,temporal,3.9,long,True,1070,143,13.364
5735711594,5,TC,temporal,1.9,short,True,589,79,13.413
9088819598,1,CW,causal,8.2,long,True,670,70,10.448
5296635780,7,TN,temporal,8.2,long,True,652,88,13.497
2614918961,1,CW,causal,3.1,long,True,1311,175,13.349
6201488511,5,CW,causal,2.4,short,True,2575,345,13.398
2976913210,6,TC,temporal,4.0,long,True,542,74,13.653
2793260225,6,CH,causal,8.5,long,True,558,77,13.799
5987365500,1,CW,causal,18.8,long,True,714,96,13.445
6582763207,2,CW,causal,5.0,long,True,696,94,13.506
7416295940,7,TN,temporal,8.2,long,True,2388,351,14.698
3171006258,0,CW,causal,23.2,long,True,1099,147,13.376
3943634344,4,TN,temporal,3.2,long,True,629,84,13.355
5833145209,5,CW,causal,2.6,long,True,510,68,13.333
5333075105,10,CW,causal,26.9,long,True,1168,156,13.356
5679866364,1,TC,temporal,3.2,long,True,750,100,13.333
5116088152,1,CW,causal,3.6,long,True,1205,162,13.444
4094488636,4,TN,temporal,8.0,long,True,810,108,13.333
6895608152,8,CW,causal,77.4,long,True,2178,291,13.361
3429509208,3,TN,temporal,2.9,long,True,374,51,13.636
3477387686,2,TN,temporal,3.5,long,True,2034,272,13.373
2405940242,0,CW,causal,11.7,long,True,415,57,13.735
7308042410,3,CW,causal,11.2,long,True,1019,137,13.445
8740703217,1,TN,temporal,5.8,long,True,602,82,13.621
3943634344,8,CH,causal,2.6,long,True,629,84,13.355
4815534482,7,CW,causal,6.4,long,True,2250,300,13.333
4584426085,1,TN,temporal,18.1,long,True,2697,360,13.348
4263096481,0,CH,causal,8.8,long,True,637,86,13.501
7533369046,6,TC,temporal,3.3,long,True,803,108,13.45
3711681535,1,CW,causal,2.1,short,True,1070,144,13.458
11871253306,4,CW,causal,1.4,short,True,1476,173,11.721
5256928210,1,TC,temporal,17.5,long,True,606,82,13.531
4978714491,2,CW,causal,7.1,long,True,1200,160,13.333
9293415110,2,CW,causal,7.6,long,True,2160,227,10.509
5445581571,2,TN,temporal,9.1,long,True,964,130,13.485
6624174621,0,TC,temporal,6.9,long,True,1212,163,13.449
9088819598,5,TN,temporal,5.9,long,True,670,70,10.448
8464056582,5,TC,temporal,10.8,long,True,1340,179,13.358
9565310990,7,TN,temporal,4.4,long,True,1066,125,11.726
5635265624,2,CH,causal,6.3,long,True,584,79,13.527
5833145209,2,CW,causal,2.3,short,True,510,68,13.333
8464056582,4,TN,temporal,4.2,long,True,1340,179,13.358
3711681535,3,CW,causal,6.2,long,True,1070,144,13.458
3121571439,3,TN,temporal,1.9,short,True,1212,163,13.449
7786283208,5,CH,causal,3.1,long,True,636,86,13.522
8064178441,7,TN,temporal,3.1,long,True,2229,298,13.369
4217422838,4,TN,temporal,6.2,long,True,1261,169,13.402
2793806282,12,TC,temporal,3.2,long,True,1925,259,13.455
3524939594,2,TC,temporal,4.4,long,True,436,59,13.532
4138579400,6,TN,temporal,2.4,short,True,601,81,13.478
5328004991,9,TN,temporal,6.5,long,True,788,106,13.452
2435633172,5,TC,temporal,8.2,long,True,2293,307,13.389
6356067859,1,CW,causal,2.9,long,True,1070,143,13.364
2503404966,6,TC,temporal,2.1,short,True,840,112,13.333
3151715056,7,CH,causal,6.3,long,True,1895,254,13.404
7164729910,7,CH,causal,19.9,long,True,656,88,13.415
8557532213,8,CW,causal,7.1,long,True,379,51,13.456
8783897632,7,TC,temporal,6.7,long,True,974,117,12.012
5333075105,6,CW,causal,4.8,long,True,1168,156,13.356
8783897632,2,CH,causal,5.5,long,True,974,117,12.012
11244289523,4,TC,temporal,2.8,long,True,552,70,12.681
9612838272,0,CW,causal,3.3,long,True,453,54,11.921
4485498145,0,TN,temporal,2.7,long,True,496,67,13.508
4010069381,1,CW,causal,4.2,long,True,369,50,13.55
9408800471,3,TC,temporal,4.3,long,True,1056,124,11.742
2809330695,9,CH,causal,3.5,long,True,2158,289,13.392
3445431963,2,TC,temporal,2.3,short,True,1276,171,13.401
4688219212,3,TN,temporal,6.1,long,True,959,128,13.347
3477387686,3,CW,causal,7.1,long,True,2034,272,13.373
4378803532,1,CH,causal,5.9,long,True,1310,175,13.359
7114553643,1,TN,temporal,3.4,long,True,1974,264,13.374
2503404966,2,CW,causal,3.9,long,True,840,112,13.333
6025238212,1,CW,causal,12.5,long,True,758,102,13.456
3261079025,6,TP,temporal,2.4,short,True,553,75,13.562
3942617402,1,CW,causal,10.3,long,True,738,99,13.415
5328616848,5,TC,temporal,9.3,long,True,446,60,13.453
4698622422,7,CW,causal,16.5,long,True,1252,169,13.498
5803861992,0,CW,causal,70.8,long,True,2145,290,13.52
3972259774,0,TN,temporal,4.3,long,True,1063,143,13.452
4251505427,2,CH,causal,40.5,long,True,2290,306,13.362
2809330695,2,CW,causal,3.7,long,True,2158,289,13.392
6078524411,7,CW,causal,14.0,long,True,2512,336,13.376
4388652400,2,TC,temporal,4.4,long,True,1785,239,13.389
9408800471,0,CH,causal,1.0,short,True,1056,124,11.742
10030609934,1,CW,causal,4.8,long,True,1680,198,11.786
3321261856,2,TN,temporal,3.0,long,True,855,115,13.45
7164729910,8,CH,causal,0.4,short,False,656,88,13.415
5333075105,11,TN,temporal,5.4,long,True,1168,156,13.356
5229476012,1,CW,causal,5.2,long,True,810,108,13.333
5801184682,2,TN,temporal,10.2,long,True,1683,301,17.885
3078294001,6,TC,temporal,7.5,long,True,335,46,13.731
4838145161,1,CW,causal,1.9,short,True,1921,257,13.378
6754608321,4,CW,causal,7.9,long,True,1617,216,13.358
2696280239,7,CH,causal,9.5,long,True,398,54,13.568
5328004991,6,TN,temporal,4.3,long,True,788,106,13.452
10082798964,6,CW,causal,3.7,long,True,345,42,12.174
2435100235,1,CW,causal,7.0,long,True,1906,256,13.431
11541421563,5,TN,temporal,2.9,long,True,2403,303,12.609
7288107396,3,TN,temporal,6.9,long,True,507,68,13.412
4199369046,8,TN,temporal,2.6,long,True,1717,230,13.395
7605329840,2,CW,causal,2.7,long,True,635,86,13.543
5445581571,7,TN,temporal,5.0,long,True,964,130,13.485
4636208292,1,CW,causal,2.4,short,True,2580,344,13.333
8531675050,7,CW,causal,10.9,long,True,1620,216,13.333
10030609934,5,CW,causal,5.1,long,True,1680,198,11.786
4006608424,9,CW,causal,14.8,long,True,2697,360,13.348
8277866423,7,CW,causal,2.8,long,True,829,111,13.39
4485707628,5,CH,causal,7.5,long,True,1933,259,13.399
12682618843,3,CH,causal,2.0,short,True,1458,172,11.797
8811725760,6,TN,temporal,4.3,long,True,631,66,10.46
2735019707,1,CW,causal,2.5,short,True,583,79,13.551
5913180144,2,TN,temporal,3.6,long,True,1191,159,13.35
2454242177,9,TN,temporal,11.5,long,True,1574,212,13.469
2604394962,1,CW,causal,5.6,long,True,1078,144,13.358
5205081904,1,CW,causal,3.0,long,True,623,84,13.483
8189958994,8,TN,temporal,3.2,long,True,1869,250,13.376
4967810888,2,CW,causal,3.8,long,True,1868,250,13.383
5875535585,9,CH,causal,57.4,long,True,2291,306,13.357
4765564263,9,CH,causal,8.4,long,True,420,56,13.333
5521781780,2,CW,causal,16.6,long,True,2697,361,13.385
2584172238,6,CW,causal,7.6,long,True,719,96,13.352
4882821564,4,TC,temporal,2.7,long,True,2697,360,13.348
3192668394,0,CW,causal,4.8,long,True,2079,278,13.372
9576671750,9,CW,causal,6.6,long,True,825,97,11.758
6024684644,6,CW,causal,3.4,long,True,519,70,13.487
3078294001,3,CW,causal,1.8,short,True,335,46,13.731
4762946272,4,TN,temporal,7.7,long,True,647,87,13.447
4010069381,2,CW,causal,6.2,long,True,369,50,13.55
2573424030,3,CW,causal,6.6,long,True,1470,197,13.401
