video,qid,backbone,approx_retrieved_in_gold,top1_in_gold
11565498775,2,control_clip_vit_b32,False,False
11565498775,8,control_clip_vit_b32,True,False
11565498775,7,control_clip_vit_b32,True,False
11565498775,1,control_clip_vit_b32,True,True
11565498775,11,control_clip_vit_b32,True,True
11565498775,6,control_clip_vit_b32,False,False
11565498775,4,control_clip_vit_b32,False,False
11565498775,5,control_clip_vit_b32,False,False
11565498775,10,control_clip_vit_b32,False,False
11565498775,0,control_clip_vit_b32,True,True
11565498775,9,control_clip_vit_b32,False,False
11565498775,3,control_clip_vit_b32,True,False
4179163342,12,control_clip_vit_b32,False,False
4179163342,4,control_clip_vit_b32,False,False
4179163342,11,control_clip_vit_b32,True,True
4179163342,5,control_clip_vit_b32,False,False
4179163342,10,control_clip_vit_b32,True,True
4179163342,2,control_clip_vit_b32,True,True
4179163342,9,control_clip_vit_b32,False,False
4179163342,0,control_clip_vit_b32,True,False
4179163342,3,control_clip_vit_b32,True,True
4179163342,1,control_clip_vit_b32,True,True
4179163342,8,control_clip_vit_b32,True,True
4635309062,11,control_clip_vit_b32,True,True
4635309062,0,control_clip_vit_b32,False,False
4635309062,6,control_clip_vit_b32,False,False
4635309062,1,control_clip_vit_b32,True,True
4635309062,7,control_clip_vit_b32,True,True
4635309062,9,control_clip_vit_b32,True,False
4635309062,5,control_clip_vit_b32,False,False
4635309062,8,control_clip_vit_b32,True,True
4635309062,2,control_clip_vit_b32,True,True
4635309062,3,control_clip_vit_b32,True,True
4635309062,4,control_clip_vit_b32,True,True
6793786769,5,control_clip_vit_b32,True,True
6793786769,8,control_clip_vit_b32,True,True
6793786769,6,control_clip_vit_b32,False,False
6793786769,10,control_clip_vit_b32,False,False
6793786769,3,control_clip_vit_b32,False,False
6793786769,11,control_clip_vit_b32,False,False
6793786769,7,control_clip_vit_b32,False,False
6793786769,0,control_clip_vit_b32,True,True
6793786769,2,control_clip_vit_b32,True,False
6793786769,4,control_clip_vit_b32,False,False
6793786769,1,control_clip_vit_b32,True,False
5586394125,9,control_clip_vit_b32,False,False
5586394125,5,control_clip_vit_b32,True,True
5586394125,8,control_clip_vit_b32,True,False
5586394125,7,control_clip_vit_b32,True,True
5586394125,3,control_clip_vit_b32,True,True
5586394125,0,control_clip_vit_b32,False,False
5586394125,6,control_clip_vit_b32,True,True
5586394125,2,control_clip_vit_b32,False,False
5586394125,4,control_clip_vit_b32,False,False
5586394125,1,control_clip_vit_b32,True,True
2552130183,10,control_clip_vit_b32,False,False
2552130183,9,control_clip_vit_b32,True,False
2552130183,4,control_clip_vit_b32,False,False
2552130183,3,control_clip_vit_b32,True,False
2552130183,2,control_clip_vit_b32,False,False
2552130183,5,control_clip_vit_b32,False,False
2552130183,8,control_clip_vit_b32,False,False
2552130183,0,control_clip_vit_b32,True,False
2552130183,1,control_clip_vit_b32,True,False
2835125654,2,control_clip_vit_b32,False,False
2835125654,6,control_clip_vit_b32,True,True
2835125654,9,control_clip_vit_b32,True,True
2835125654,3,control_clip_vit_b32,False,False
2835125654,0,control_clip_vit_b32,True,True
2835125654,4,control_clip_vit_b32,True,True
2835125654,8,control_clip_vit_b32,True,True
2835125654,1,control_clip_vit_b32,True,True
2835125654,5,control_clip_vit_b32,True,False
3249402410,9,control_clip_vit_b32,False,False
3249402410,4,control_clip_vit_b32,False,False
3249402410,6,control_clip_vit_b32,True,True
3249402410,3,control_clip_vit_b32,False,False
3249402410,2,control_clip_vit_b32,True,True
3249402410,8,control_clip_vit_b32,True,True
3249402410,0,control_clip_vit_b32,False,False
3249402410,5,control_clip_vit_b32,False,False
3249402410,7,control_clip_vit_b32,False,False
4626535366,4,control_clip_vit_b32,True,True
4626535366,5,control_clip_vit_b32,True,False
4626535366,7,control_clip_vit_b32,True,False
4626535366,9,control_clip_vit_b32,False,False
4626535366,1,control_clip_vit_b32,True,False
4626535366,2,control_clip_vit_b32,True,False
4626535366,10,control_clip_vit_b32,True,False
4626535366,3,control_clip_vit_b32,True,False
4626535366,0,control_clip_vit_b32,False,False
5323654756,6,control_clip_vit_b32,False,False
5323654756,3,control_clip_vit_b32,False,False
5323654756,9,control_clip_vit_b32,True,True
5323654756,8,control_clip_vit_b32,True,True
5323654756,5,control_clip_vit_b32,True,True
5323654756,2,control_clip_vit_b32,False,False
5323654756,0,control_clip_vit_b32,True,False
5323654756,7,control_clip_vit_b32,True,False
5323654756,1,control_clip_vit_b32,False,False
6018514357,6,control_clip_vit_b32,False,False
6018514357,3,control_clip_vit_b32,True,False
6018514357,7,control_clip_vit_b32,True,True
6018514357,5,control_clip_vit_b32,False,False
6018514357,4,control_clip_vit_b32,True,True
6018514357,1,control_clip_vit_b32,False,False
6018514357,0,control_clip_vit_b32,False,False
6018514357,2,control_clip_vit_b32,True,True
6018514357,8,control_clip_vit_b32,False,False
6136926089,8,control_clip_vit_b32,False,False
6136926089,4,control_clip_vit_b32,True,True
6136926089,1,control_clip_vit_b32,True,True
6136926089,7,control_clip_vit_b32,True,False
6136926089,2,control_clip_vit_b32,False,False
6136926089,5,control_clip_vit_b32,True,True
6136926089,9,control_clip_vit_b32,False,False
6136926089,6,control_clip_vit_b32,True,True
6136926089,3,control_clip_vit_b32,True,True
14012319794,8,control_clip_vit_b32,True,True
14012319794,4,control_clip_vit_b32,True,False
14012319794,9,control_clip_vit_b32,False,False
14012319794,0,control_clip_vit_b32,True,True
14012319794,3,control_clip_vit_b32,False,False
14012319794,6,control_clip_vit_b32,True,True
14012319794,5,control_clip_vit_b32,False,False
14012319794,2,control_clip_vit_b32,True,True
2920952624,4,control_clip_vit_b32,False,False
2920952624,7,control_clip_vit_b32,False,False
2920952624,3,control_clip_vit_b32,True,False
2920952624,9,control_clip_vit_b32,False,False
2920952624,1,control_clip_vit_b32,True,True
2920952624,8,control_clip_vit_b32,True,False
2920952624,2,control_clip_vit_b32,True,True
2920952624,6,control_clip_vit_b32,True,False
3124551255,2,control_clip_vit_b32,True,False
3124551255,8,control_clip_vit_b32,False,False
3124551255,5,control_clip_vit_b32,False,False
3124551255,7,control_clip_vit_b32,False,False
3124551255,4,control_clip_vit_b32,False,False
3124551255,6,control_clip_vit_b32,True,True
3124551255,10,control_clip_vit_b32,False,False
3124551255,9,control_clip_vit_b32,False,False
3452354871,1,control_clip_vit_b32,False,False
3452354871,4,control_clip_vit_b32,True,True
3452354871,9,control_clip_vit_b32,True,False
3452354871,3,control_clip_vit_b32,False,False
3452354871,0,control_clip_vit_b32,True,False
3452354871,2,control_clip_vit_b32,True,False
3452354871,6,control_clip_vit_b32,True,False
3452354871,5,control_clip_vit_b32,True,True
4087013668,5,control_clip_vit_b32,True,True
4087013668,0,control_clip_vit_b32,True,True
