K,lambda,method,mIoP,IoP@0.3,IoP@0.5,mIoU,IoU@0.3,IoU@0.5,n_scored,method_c_fallback_rate,method_b_zero_width_rate,method_d_zero_width_rate,method_d_clip_fallback_rate
4,0.0,A,0.27137,0.31769,0.23166,0.16166,0.2216,0.09907,2685,,,,
4,0.0,B,0.29038,0.31024,0.28752,0.06313,0.08007,0.03315,2685,,0.22793,,
4,0.0,C,0.28809,0.32998,0.28678,0.10348,0.13706,0.06629,2685,0.0,,,
4,0.0,D,0.28784,0.35717,0.28752,0.15596,0.23315,0.12365,2685,,,0.0,0.0
4,0.1,A,0.27335,0.32216,0.23017,0.16805,0.22942,0.10354,2685,,,,
4,0.1,B,0.29547,0.31732,0.29199,0.06433,0.08343,0.0324,2685,,0.24953,,
4,0.1,C,0.29074,0.33035,0.28939,0.10262,0.13631,0.0648,2685,0.0,,,
4,0.1,D,0.28859,0.35605,0.28939,0.15564,0.23277,0.1203,2685,,,0.0,0.0
4,0.25,A,0.27882,0.32402,0.23575,0.17789,0.23687,0.1121,2685,,,,
4,0.25,B,0.3042,0.327,0.30354,0.06824,0.08901,0.03799,2685,,0.27635,,
4,0.25,C,0.29562,0.33445,0.29348,0.10244,0.13296,0.06555,2685,0.0,,,
4,0.25,D,0.29513,0.36536,0.29423,0.16,0.23799,0.12402,2685,,,0.0,0.0
4,0.5,A,0.27901,0.33445,0.22458,0.19282,0.26145,0.12439,2685,,,,
4,0.5,B,0.31276,0.33855,0.31322,0.07204,0.09423,0.04469,2685,,0.29832,,
4,0.5,C,0.30384,0.34302,0.30279,0.10332,0.13259,0.0622,2685,0.0,,,
4,0.5,D,0.30206,0.37281,0.30279,0.16386,0.24395,0.12775,2685,,,0.0,0.0
4,0.75,A,0.28115,0.33445,0.21862,0.19653,0.25996,0.1203,2685,,,,
4,0.75,B,0.3076,0.33259,0.30912,0.07015,0.09088,0.04283,2685,,0.30503,,
4,0.75,C,0.30114,0.34004,0.30056,0.10196,0.1311,0.06294,2685,0.0,,,
4,0.75,D,0.29963,0.3702,0.29795,0.16282,0.24246,0.12812,2685,,,0.0,0.0
4,0.9,A,0.28315,0.3378,0.21974,0.19786,0.2648,0.11955,2685,,,,
4,0.9,B,0.30499,0.32812,0.30652,0.07015,0.09199,0.04246,2685,,0.30652,,
4,0.9,C,0.30134,0.34115,0.30093,0.10241,0.13296,0.06331,2685,0.0,,,
4,0.9,D,0.29931,0.36983,0.2987,0.16186,0.24171,0.12477,2685,,,0.0,0.0
4,1.0,A,0.2825,0.33669,0.21862,0.19545,0.26182,0.11657,2685,,,,
4,1.0,B,0.30689,0.32998,0.30912,0.07074,0.09274,0.04358,2685,,0.31248,,
4,1.0,C,0.30159,0.3419,0.30093,0.10184,0.13147,0.06182,2685,0.0,,,
4,1.0,D,0.2994,0.36834,0.29981,0.16167,0.2406,0.12477,2685,,,0.0,0.0
5,0.0,A,0.2707,0.32477,0.2257,0.17854,0.24432,0.11061,2685,,,,
5,0.0,B,0.29463,0.32216,0.29162,0.07167,0.09311,0.03762,2685,,0.19441,,
5,0.0,C,0.29075,0.33184,0.28864,0.1046,0.13966,0.06741,2685,0.0,,,
5,0.0,D,0.28917,0.35866,0.28976,0.15719,0.23464,0.12328,2685,,,0.0,0.0
5,0.1,A,0.27245,0.32402,0.22756,0.18344,0.24879,0.11583,2685,,,,
5,0.1,B,0.29698,0.32439,0.29423,0.07374,0.09609,0.04022,2685,,0.20372,,
5,0.1,C,0.29081,0.33184,0.28939,0.10304,0.13557,0.0648,2685,0.0,,,
5,0.1,D,0.29042,0.35717,0.2905,0.1571,0.23277,0.12291,2685,,,0.0,0.0
5,0.25,A,0.27769,0.327,0.22868,0.19374,0.25736,0.12663,2685,,,,
5,0.25,B,0.30459,0.33147,0.30428,0.08003,0.10652,0.04693,2685,,0.21043,,
5,0.25,C,0.29718,0.33594,0.29609,0.10263,0.13184,0.0648,2685,0.0,,,
