lambda,method,mIoP,IoP@0.3,IoP@0.5,mIoU,IoU@0.3,IoU@0.5,n_scored,method_c_fallback_rate,method_b_zero_width_rate,method_d_zero_width_rate,method_d_clip_fallback_rate
0.0,A,0.27137,0.31769,0.23166,0.16166,0.2216,0.09907,2685,,,,
0.0,B,0.29038,0.31024,0.28752,0.06313,0.08007,0.03315,2685,,0.22793,,
0.0,C,0.27076,0.32142,0.23128,0.1642,0.22719,0.1013,2685,0.94376,,,
0.0,D,0.28784,0.35717,0.28752,0.15596,0.23315,0.12365,2685,,,0.0,0.0
0.1,A,0.27335,0.32216,0.23017,0.16805,0.22942,0.10354,2685,,,,
0.1,B,0.29547,0.31732,0.29199,0.06433,0.08343,0.0324,2685,,0.24953,,
0.1,C,0.27274,0.32588,0.2298,0.17059,0.23501,0.10577,2685,0.94376,,,
0.1,D,0.28859,0.35605,0.28939,0.15564,0.23277,0.1203,2685,,,0.0,0.0
0.25,A,0.27882,0.32402,0.23575,0.17789,0.23687,0.1121,2685,,,,
0.25,B,0.3042,0.327,0.30354,0.06824,0.08901,0.03799,2685,,0.27635,,
0.25,C,0.27822,0.32775,0.23538,0.18043,0.24246,0.11434,2685,0.94376,,,
0.25,D,0.29513,0.36536,0.29423,0.16,0.23799,0.12402,2685,,,0.0,0.0
0.5,A,0.27901,0.33445,0.22458,0.19282,0.26145,0.12439,2685,,,,
0.5,B,0.31276,0.33855,0.31322,0.07204,0.09423,0.04469,2685,,0.29832,,
0.5,C,0.27841,0.33818,0.22421,0.19536,0.26704,0.12663,2685,0.94376,,,
0.5,D,0.30206,0.37281,0.30279,0.16386,0.24395,0.12775,2685,,,0.0,0.0
0.75,A,0.28115,0.33445,0.21862,0.19653,0.25996,0.1203,2685,,,,
0.75,B,0.3076,0.33259,0.30912,0.07015,0.09088,0.04283,2685,,0.30503,,
0.75,C,0.28055,0.33818,0.21825,0.19908,0.26555,0.12253,2685,0.94376,,,
0.75,D,0.29963,0.3702,0.29795,0.16282,0.24246,0.12812,2685,,,0.0,0.0
0.9,A,0.28315,0.3378,0.21974,0.19786,0.2648,0.11955,2685,,,,
0.9,B,0.30499,0.32812,0.30652,0.07015,0.09199,0.04246,2685,,0.30652,,
0.9,C,0.28254,0.34153,0.21937,0.20041,0.27039,0.12179,2685,0.94376,,,
0.9,D,0.29931,0.36983,0.2987,0.16186,0.24171,0.12477,2685,,,0.0,0.0
1.0,A,0.2825,0.33669,0.21862,0.19545,0.26182,0.11657,2685,,,,
1.0,B,0.30689,0.32998,0.30912,0.07074,0.09274,0.04358,2685,,0.31248,,
1.0,C,0.2819,0.34041,0.21825,0.198,0.26741,0.11881,2685,0.94376,,,
1.0,D,0.2994,0.36834,0.29981,0.16167,0.2406,0.12477,2685,,,0.0,0.0
