video,qid,ppr_lambda,any_in_gold,iop,iou
4882821564,1,0.5,True,0.48797,0.11763
2435100235,7,0.5,True,0.0,0.0
2834146886,8,0.5,True,1.0,0.61972
8132842161,2,0.5,True,0.76111,0.39626
4260763967,4,0.5,True,0.61364,0.61364
3462517143,2,0.5,True,0.72327,0.56651
3441428429,10,0.5,False,0.0,0.0
6356067859,6,0.5,False,0.0,0.0
5735711594,5,0.5,True,0.0,0.0
9088819598,1,0.5,True,0.89194,0.3839
5296635780,7,0.5,True,1.0,0.53659
2614918961,1,0.5,False,0.0,0.0
6201488511,5,0.5,False,0.0,0.0
2976913210,6,0.5,False,0.0,0.0
2793260225,6,0.5,True,1.0,0.51765
5987365500,1,0.5,True,1.0,0.23404
6582763207,2,0.5,True,0.78357,0.57922
7416295940,7,0.5,True,0.92258,0.4753
3171006258,0,0.5,True,0.51523,0.08949
3943634344,4,0.5,True,0.54073,0.45572
5833145209,5,0.5,False,0.0,0.0
5333075105,10,0.5,True,1.0,0.16357
5679866364,1,0.5,False,0.0,0.0
5116088152,1,0.5,False,0.0,0.0
4094488636,4,0.5,True,0.83782,0.42306
6895608152,8,0.5,True,1.0,0.05685
3429509208,3,0.5,True,0.60452,0.57323
3477387686,2,0.5,False,0.0,0.0
2405940242,0,0.5,True,1.0,0.37607
7308042410,3,0.5,False,0.0,0.0
8740703217,1,0.5,True,0.0,0.0
3943634344,8,0.5,True,0.59091,0.59091
4815534482,7,0.5,True,0.36818,0.17647
4584426085,1,0.5,False,0.0,0.0
4263096481,0,0.5,True,0.04295,0.01453
7533369046,6,0.5,True,0.10606,0.06452
3711681535,1,0.5,False,0.0,0.0
11871253306,4,0.5,False,0.30167,0.29678
5256928210,1,0.5,True,1.0,0.25143
4978714491,2,0.5,True,1.0,0.61972
9293415110,2,0.5,False,0.20455,0.08108
5445581571,2,0.5,True,0.9188,0.42747
6624174621,0,0.5,False,0.0,0.0
9088819598,5,0.5,False,0.0,0.0
8464056582,5,0.5,False,0.40152,0.13151
9565310990,7,0.5,False,0.0,0.0
5635265624,2,0.5,False,0.0,0.0
5833145209,2,0.5,False,0.29643,0.1906
8464056582,4,0.5,False,0.0,0.0
3711681535,3,0.5,False,0.34099,0.27786
3121571439,3,0.5,False,0.0,0.0
7786283208,5,0.5,False,0.0,0.0
8064178441,7,0.5,True,0.0,0.0
4217422838,4,0.5,False,0.0,0.0
2793806282,12,0.5,False,0.0,0.0
3524939594,2,0.5,True,0.40966,0.25759
4138579400,6,0.5,False,0.52961,0.48253
5328004991,9,0.5,True,0.86614,0.53759
2435633172,5,0.5,False,0.26818,0.10333
6356067859,1,0.5,True,0.0,0.0
2503404966,6,0.5,False,0.0,0.0
3151715056,7,0.5,False,0.18304,0.08139
7164729910,7,0.5,True,1.0,0.22111
8557532213,8,0.5,True,0.70545,0.3697
8783897632,7,0.5,False,0.0,0.0
5333075105,6,0.5,True,0.94614,0.82648
8783897632,2,0.5,True,0.89913,0.66559
11244289523,4,0.5,True,0.43561,0.36278
9612838272,0,0.5,True,0.97025,0.97025
4485498145,0,0.5,True,0.84813,0.72057
4010069381,1,0.5,False,0.17964,0.10121
9408800471,3,0.5,True,0.3048,0.18224
2809330695,9,0.5,False,0.46534,0.34985
3445431963,2,0.5,False,0.0,0.0
4688219212,3,0.5,False,0.0,0.0
3477387686,3,0.5,False,0.0,0.0
4378803532,1,0.5,False,0.0,0.0
7114553643,1,0.5,False,0.0,0.0
2503404966,2,0.5,False,0.0,0.0
6025238212,1,0.5,False,0.16878,0.04596
3261079025,6,0.5,False,0.0,0.0
3942617402,1,0.5,True,1.0,0.42718
5328616848,5,0.5,True,0.9524,0.42126
4698622422,7,0.5,True,0.0,0.0
5803861992,0,0.5,True,1.0,0.06215
3972259774,0,0.5,True,0.0,0.0
4251505427,2,0.5,True,1.0,0.10864
2809330695,2,0.5,False,0.0,0.0
6078524411,7,0.5,True,0.0,0.0
4388652400,2,0.5,False,0.21033,0.11753
9408800471,0,0.5,False,0.2563,0.2563
10030609934,1,0.5,False,0.0,0.0
3321261856,2,0.5,True,0.26795,0.18952
7164729910,8,0.5,False,0.0,0.0
5333075105,11,0.5,True,0.94614,0.73851
5229476012,1,0.5,False,0.04055,0.01894
5801184682,2,0.5,True,1.0,0.43137
3078294001,6,0.5,True,0.0,0.0
4838145161,1,0.5,False,0.0,0.0
6754608321,4,0.5,True,0.0,0.0
2696280239,7,0.5,True,0.51294,0.19384
5328004991,6,0.5,False,0.00252,0.00127
10082798964,6,0.5,False,0.0,0.0
2435100235,1,0.5,False,0.0,0.0
11541421563,5,0.5,True,0.0,0.0
7288107396,3,0.5,True,1.0,0.63768
4199369046,8,0.5,False,0.0,0.0
7605329840,2,0.5,True,0.60038,0.59252
5445581571,7,0.5,False,0.0,0.0
4636208292,1,0.5,True,0.0,0.0
8531675050,7,0.5,True,0.94261,0.37189
10030609934,5,0.5,False,0.0,0.0
4006608424,9,0.5,True,0.81,0.22794
8277866423,7,0.5,False,0.16477,0.11197
4485707628,5,0.5,False,0.0,0.0
12682618843,3,0.5,True,0.77911,0.77911
8811725760,6,0.5,False,0.0,0.0
2735019707,1,0.5,True,0.56818,0.56818
5913180144,2,0.5,True,0.51236,0.39236
2454242177,9,0.5,False,0.0,0.0
2604394962,1,0.5,False,0.0,0.0
5205081904,1,0.5,True,0.5028,0.42645
8189958994,8,0.5,False,0.0,0.0
4967810888,2,0.5,True,0.73814,0.65583
5875535585,9,0.5,True,1.0,0.07666
4765564263,9,0.5,True,0.63773,0.28077
5521781780,2,0.5,True,1.0,0.26506
2584172238,6,0.5,False,0.0,0.0
4882821564,4,0.5,True,0.0,0.0
3192668394,0,0.5,False,0.0,0.0
9576671750,9,0.5,False,0.0,0.0
6024684644,6,0.5,True,0.77273,0.77273
3078294001,3,0.5,False,0.29602,0.26595
4762946272,4,0.5,True,1.0,0.57143
4010069381,2,0.5,True,1.0,0.70968
2573424030,3,0.5,True,0.63409,0.33983
8513603944,8,0.5,False,0.01317,0.00768
3763643225,7,0.5,True,1.0,0.4334
6244675392,0,0.5,False,0.25758,0.11972
5445581571,9,0.5,True,0.0,0.0
2957808913,5,0.5,True,0.70684,0.50245
4219909195,3,0.5,False,0.0,0.0
9408800471,6,0.5,True,0.0,0.0
5521781780,3,0.5,False,0.21612,0.15465
4584426085,5,0.5,True,0.0,0.0
10607095936,6,0.5,False,0.43742,0.27592
6097994550,0,0.5,True,1.0,0.44444
5561024834,4,0.5,True,0.0,0.0
4151403382,4,0.5,True,0.83741,0.7496
5070310138,6,0.5,False,0.0,0.0
3655906094,1,0.5,True,0.20332,0.1259
3322503255,1,0.5,True,0.0,0.0
5875242364,2,0.5,True,0.0,0.0
3655906094,9,0.5,False,0.0,0.0
7492398760,9,0.5,True,0.0,0.0
9917882506,7,0.5,False,0.0,0.0
5061117640,5,0.5,False,0.0,0.0
6592821115,2,0.5,False,0.0,0.0
4264435046,6,0.5,True,0.07064,0.03111
5328004991,2,0.5,True,1.0,0.69841
4092992100,2,0.5,True,0.43241,0.22657
4564478328,6,0.5,True,0.0,0.0
5433090067,5,0.5,False,0.0,0.0
5987365500,5,0.5,True,1.0,0.23404
5504913999,6,0.5,True,1.0,0.18884
4260763967,8,0.5,False,0.0,0.0
4443526735,3,0.5,True,1.0,0.2328
2400715506,5,0.5,False,0.0,0.0
6201488511,2,0.5,True,0.81818,0.81818
13919236672,7,0.5,False,0.0,0.0
2736413196,5,0.5,True,1.0,0.20561
4762946272,5,0.5,True,0.0,0.0
3046900922,2,0.5,True,0.57114,0.34966
5349969207,0,0.5,True,1.0,0.6875
3846475848,2,0.5,True,1.0,0.08381
3861485381,1,0.5,True,0.40909,0.40909
6142416815,6,0.5,True,1.0,0.13924
2596300565,3,0.5,False,0.0,0.0
8107573462,7,0.5,True,0.20455,0.20455
2697261300,1,0.5,False,0.0,0.0
3441428429,8,0.5,False,0.0,0.0
2442307875,2,0.5,True,0.72727,0.58182
4955723618,4,0.5,False,0.0,0.0
4859057828,3,0.5,False,0.16182,0.08195
2604394962,5,0.5,False,0.0,0.0
4896969617,0,0.5,True,1.0,0.67827
5349766264,5,0.5,True,0.01204,0.00527
4378803532,0,0.5,True,1.0,0.44
8225502382,3,0.5,False,0.14337,0.08678
6516459343,2,0.5,False,0.0,0.0
2932897373,0,0.5,True,0.7878,0.7878
4251505427,1,0.5,True,1.0,0.10864
7114553643,0,0.5,True,1.0,0.1204
5333075105,7,0.5,True,1.0,0.12465
6964124866,2,0.5,True,1.0,0.33083
3557498300,7,0.5,True,0.55839,0.42781
3145698830,4,0.5,False,0.0,0.0
5235909148,3,0.5,True,1.0,0.38261
4882414082,4,0.5,False,0.0,0.0
4263096481,4,0.5,True,0.54073,0.16162
6592821115,6,0.5,False,0.0,0.0
5679866364,2,0.5,True,1.0,0.37607
5433090067,2,0.5,True,0.78412,0.45101
3972259774,6,0.5,True,0.0,0.0
4151403382,0,0.5,False,0.0,0.0
4219909195,0,0.5,False,0.0,0.0
5297811305,3,0.5,True,0.0,0.0
4333544549,5,0.5,False,0.0,0.0
13919236672,9,0.5,False,0.0,0.0
