arm,query_mode,traversal,scope,metric,value,n
A,none,none,overall,n,2685,2685
A,none,none,overall,gold_frame_at_4,0.5303538175046555,2685
A,none,none,overall,anchor_in_gold_at_1,0.3039106145251397,2685
A,none,none,overall,mIoP,0.29781971098696464,2685
A,none,none,overall,mIoU,0.1608658014897579,2685
A,none,none,overall,IoP@0.3,0.37206703910614525,2685
A,none,none,overall,IoP@0.5,0.30204841713221603,2685
A,none,none,overall,IoU@0.3,0.2435754189944134,2685
A,none,none,overall,IoU@0.5,0.12067039106145251,2685
A,none,none,overall,zero_width_count,0,2685
A,none,none,overall,zero_width_rate,0.0,2685
A,none,none,overall,invalid_span_count,0,2685
A,none,none,overall,mean_pred_span_width,4.287401973929237,2685
A,none,none,overall,median_retrieval_ms,3.723,2685
A,none,none,overall,p95_retrieval_ms,4.6561,2685
A,none,none,overall,mean_ppr_calls,1.0,2685
A,none,none,overall,max_ppr_calls,1,2685
A,none,none,overall,avg_context_frames,4.0,2685
A,none,none,overall,max_context_frames_observed,4,2685
A,none,none,type=CW,n,1172,1172
A,none,none,type=CW,gold_frame_at_4,0.5332764505119454,1172
A,none,none,type=CW,anchor_in_gold_at_1,0.3174061433447099,1172
A,none,none,type=CW,mIoP,0.3063593174061433,1172
A,none,none,type=CW,mIoU,0.16197542064846418,1172
A,none,none,type=CW,IoP@0.3,0.38139931740614336,1172
A,none,none,type=CW,IoP@0.5,0.30887372013651876,1172
A,none,none,type=CW,IoU@0.3,0.25426621160409557,1172
A,none,none,type=CW,IoU@0.5,0.11177474402730375,1172
A,none,none,type=CW,zero_width_count,0,1172
A,none,none,type=CW,zero_width_rate,0.0,1172
A,none,none,type=CW,invalid_span_count,0,1172
A,none,none,type=CW,mean_pred_span_width,4.30473276450512,1172
A,none,none,type=CW,median_retrieval_ms,3.7504999999999997,1172
A,none,none,type=CW,p95_retrieval_ms,4.67605,1172
A,none,none,type=CW,mean_ppr_calls,1.0,1172
A,none,none,type=CW,max_ppr_calls,1,1172
A,none,none,type=CW,avg_context_frames,4.0,1172
A,none,none,type=CW,max_context_frames_observed,4,1172
A,none,none,type=CH,n,392,392
A,none,none,type=CH,gold_frame_at_4,0.5943877551020408,392
A,none,none,type=CH,anchor_in_gold_at_1,0.35714285714285715,392
A,none,none,type=CH,mIoP,0.34615048469387755,392
A,none,none,type=CH,mIoU,0.17011061224489793,392
A,none,none,type=CH,IoP@0.3,0.41581632653061223,392
A,none,none,type=CH,IoP@0.5,0.3469387755102041,392
A,none,none,type=CH,IoU@0.3,0.22959183673469388,392
A,none,none,type=CH,IoU@0.5,0.13010204081632654,392
A,none,none,type=CH,zero_width_count,0,392
A,none,none,type=CH,zero_width_rate,0.0,392
A,none,none,type=CH,invalid_span_count,0,392
A,none,none,type=CH,mean_pred_span_width,4.2819,392
A,none,none,type=CH,median_retrieval_ms,3.6820000000000004,392
A,none,none,type=CH,p95_retrieval_ms,4.587949999999999,392
A,none,none,type=CH,mean_ppr_calls,1.0,392
A,none,none,type=CH,max_ppr_calls,1,392
A,none,none,type=CH,avg_context_frames,4.0,392
A,none,none,type=CH,max_context_frames_observed,4,392
A,none,none,type=TN,n,704,704
A,none,none,type=TN,gold_frame_at_4,0.46875,704
A,none,none,type=TN,anchor_in_gold_at_1,0.22017045454545456,704
A,none,none,type=TN,mIoP,0.23615436079545454,704
A,none,none,type=TN,mIoU,0.14966473011363635,704
A,none,none,type=TN,IoP@0.3,0.3068181818181818,704
A,none,none,type=TN,IoP@0.5,0.24005681818181818,704
A,none,none,type=TN,IoU@0.3,0.23579545454545456,704
A,none,none,type=TN,IoU@0.5,0.1278409090909091,704
A,none,none,type=TN,zero_width_count,0,704
A,none,none,type=TN,zero_width_rate,0.0,704
A,none,none,type=TN,invalid_span_count,0,704
A,none,none,type=TN,mean_pred_span_width,4.2652776988636365,704
A,none,none,type=TN,median_retrieval_ms,3.729,704
A,none,none,type=TN,p95_retrieval_ms,4.6825,704
A,none,none,type=TN,mean_ppr_calls,1.0,704
A,none,none,type=TN,max_ppr_calls,1,704
A,none,none,type=TN,avg_context_frames,4.0,704
A,none,none,type=TN,max_context_frames_observed,4,704
A,none,none,type=TP,n,37,37
A,none,none,type=TP,gold_frame_at_4,0.4864864864864865,37
A,none,none,type=TP,anchor_in_gold_at_1,0.24324324324324326,37
A,none,none,type=TP,mIoP,0.2393707567567568,37
A,none,none,type=TP,mIoU,0.14951627027027029,37
A,none,none,type=TP,IoP@0.3,0.2972972972972973,37
A,none,none,type=TP,IoP@0.5,0.21621621621621623,37
A,none,none,type=TP,IoU@0.3,0.1891891891891892,37
A,none,none,type=TP,IoU@0.5,0.10810810810810811,37
A,none,none,type=TP,zero_width_count,0,37
A,none,none,type=TP,zero_width_rate,0.0,37
A,none,none,type=TP,invalid_span_count,0,37
A,none,none,type=TP,mean_pred_span_width,4.2146783783783786,37
A,none,none,type=TP,median_retrieval_ms,3.657,37
A,none,none,type=TP,p95_retrieval_ms,4.368899999999999,37
A,none,none,type=TP,mean_ppr_calls,1.0,37
A,none,none,type=TP,max_ppr_calls,1,37
A,none,none,type=TP,avg_context_frames,4.0,37
A,none,none,type=TP,max_context_frames_observed,4,37
A,none,none,type=TC,n,380,380
A,none,none,type=TC,gold_frame_at_4,0.5736842105263158,380
