video_id,source_split,duration,query_ids,relevant_window_count_per_query,relevant_window_count_total,selection_bucket,download_status,local_path,file_size_bytes,sha256,decoding_validation_status,video_available
-4Mlqc7PbZY_510.0_660.0,external_dev,150,[8859],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/-4Mlqc7PbZY_510.0_660.0.mp4,,,not_attempted,False
-_s0sXOfS3w_510.0_660.0,external_dev,150,[8312],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/-_s0sXOfS3w_510.0_660.0.mp4,,,not_attempted,False
-gNwItPwMhM_210.0_360.0,external_dev,150,[3796],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/-gNwItPwMhM_210.0_360.0.mp4,,,not_attempted,False
00DH3yn5C30_360.0_510.0,external_dev,150,[4837],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/00DH3yn5C30_360.0_510.0.mp4,,,not_attempted,False
00DH3yn5C30_60.0_210.0,external_dev,150,[395],[2],2,dur=long|qlen=short_query|win=few_windows|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/00DH3yn5C30_60.0_210.0.mp4,,,not_attempted,False
0U3-7Ey3siA_210.0_360.0,external_dev,150,[5758],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/0U3-7Ey3siA_210.0_360.0.mp4,,,not_attempted,False
0Yf4z13YlrY_210.0_360.0,external_dev,134,[9862],[6],6,dur=short|qlen=short_query|win=many_windows|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/0Yf4z13YlrY_210.0_360.0.mp4,,,not_attempted,False
0_eIFN2FDoU_210.0_360.0,external_dev,150,[3608],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/0_eIFN2FDoU_210.0_360.0.mp4,,,not_attempted,False
0rES0DQHGis_60.0_210.0,external_dev,150,[4314],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/0rES0DQHGis_60.0_210.0.mp4,,,not_attempted,False
0zDV_cVzPiI_360.0_510.0,external_dev,150,[6590],[2],2,dur=long|qlen=long_query|win=few_windows|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/0zDV_cVzPiI_360.0_510.0.mp4,,,not_attempted,False
109g6BhejP0_360.0_510.0,external_dev,126,[6288],[1],1,dur=short|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/109g6BhejP0_360.0_510.0.mp4,,,not_attempted,False
109g6BhejP0_60.0_210.0,external_dev,150,[3307],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/109g6BhejP0_60.0_210.0.mp4,,,not_attempted,False
2BzoQ31IPhk_360.0_510.0,external_dev,150,[8061],[6],6,dur=long|qlen=short_query|win=many_windows|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/2BzoQ31IPhk_360.0_510.0.mp4,,,not_attempted,False
2X46BBkcCeY_210.0_360.0,external_dev,150,[8239],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/2X46BBkcCeY_210.0_360.0.mp4,,,not_attempted,False
2X46BBkcCeY_60.0_210.0,external_dev,150,[4474],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/2X46BBkcCeY_60.0_210.0.mp4,,,not_attempted,False
39AFfSOXl-8_210.0_360.0,external_dev,150,[9332],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/39AFfSOXl-8_210.0_360.0.mp4,,,not_attempted,False
5BGa1HJslJA_210.0_360.0,external_dev,150,[10143],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/5BGa1HJslJA_210.0_360.0.mp4,,,not_attempted,False
5oucQKLn88A_210.0_360.0,external_dev,150,[5775],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/5oucQKLn88A_210.0_360.0.mp4,,,not_attempted,False
5wDSfYr9bgU_360.0_510.0,external_dev,150,[10229],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/5wDSfYr9bgU_360.0_510.0.mp4,,,not_attempted,False
63qdAAxHSwU_360.0_510.0,external_dev,150,[9670],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/63qdAAxHSwU_360.0_510.0.mp4,,,not_attempted,False
6Mzo1y19iTU_360.0_510.0,external_dev,150,[7924],[1],1,dur=long|qlen=short_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/6Mzo1y19iTU_360.0_510.0.mp4,,,not_attempted,False
6SdLxtywo4s_360.0_510.0,external_dev,150,[8121],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/6SdLxtywo4s_360.0_510.0.mp4,,,not_attempted,False
6gmGISTKDPw_360.0_510.0,external_dev,150,[1685],[1],1,dur=long|qlen=long_query|win=single_window|qcount=single_query_video,not_attempted,/home/ccbd/IRIS-1/external_data/qvhighlights/videos/6gmGISTKDPw_360.0_510.0.mp4,,,not_attempted,False
