k,video,qid,peak_in_gold,top_frame_timestamp
4,4882821564,1,False,13.747
4,2435100235,7,False,13.213
4,2834146886,8,False,34.535
4,8132842161,2,True,16.45
4,4260763967,4,True,4.905
4,3462517143,2,True,17.618
4,3441428429,10,False,74.474
4,6356067859,6,False,0.234
4,5735711594,5,False,16.75
4,9088819598,1,True,1.502
4,5296635780,7,True,12.713
4,2614918961,1,False,40.34
4,6201488511,5,False,81.381
4,2976913210,6,False,0.4
4,2793260225,6,True,9.442
4,5987365500,1,True,2.536
4,6582763207,2,False,0.542
4,7416295940,7,True,74.041
4,3171006258,0,False,34.034
4,3943634344,4,True,20.821
4,5833145209,5,False,11.345
4,5333075105,10,True,23.924
4,5679866364,1,False,8.942
4,5116088152,1,False,18.418
4,4094488636,4,True,13.614
4,6895608152,8,True,58.6
4,3429509208,3,True,15.14
4,3477387686,2,False,65.532
4,2405940242,0,True,7.273
4,7308042410,3,False,13.247
4,8740703217,1,False,0.234
4,3943634344,8,True,19.319
4,4815534482,7,True,69.28
4,4584426085,1,False,67.868
4,4263096481,0,False,20.921
4,7533369046,6,False,25.167
4,3711681535,1,False,34.968
4,11871253306,4,False,5.706
4,5256928210,1,True,14.815
4,4978714491,2,True,29.963
4,9293415110,2,False,9.0
4,5445581571,2,True,24.024
4,6624174621,0,False,16.25
4,9088819598,5,False,8.675
4,8464056582,5,False,7.167
4,9565310990,7,False,1.602
4,5635265624,2,False,16.583
4,5833145209,2,False,0.5
4,8464056582,4,False,12.417
4,3711681535,3,False,33.0
4,3121571439,3,False,29.63
4,7786283208,5,False,7.007
4,8064178441,7,False,35.869
4,4217422838,4,False,0.083
4,2793806282,12,False,17.684
4,3524939594,2,True,5.589
4,4138579400,6,False,1.627
4,5328004991,9,False,7.307
4,2435633172,5,False,58.858
4,6356067859,1,False,0.234
4,2503404966,6,False,10.444
4,3151715056,7,False,39.94
4,7164729910,7,True,0.667
4,8557532213,8,False,0.534
4,8783897632,7,False,21.388
4,5333075105,6,True,37.037
4,8783897632,2,False,19.553
4,11244289523,4,True,20.917
4,9612838272,0,True,2.102
4,4485498145,0,False,15.482
4,4010069381,1,False,9.61
4,9408800471,3,False,19.186
4,2809330695,9,False,30.53
4,3445431963,2,False,25.15
4,4688219212,3,False,27.16
4,3477387686,3,False,66.266
4,4378803532,1,False,28.362
4,7114553643,1,False,45.045
4,2503404966,2,False,2.803
4,6025238212,1,False,24.057
4,3261079025,6,False,5.806
4,3942617402,1,True,13.639
4,5328616848,5,True,5.706
4,4698622422,7,False,3.737
4,5803861992,0,True,28.128
4,3972259774,0,True,4.63
4,4251505427,2,True,50.851
4,2809330695,2,False,31.532
4,6078524411,7,False,53.787
4,4388652400,2,False,34.001
4,9408800471,0,False,1.702
4,10030609934,1,False,35.235
4,3321261856,2,False,20.22
4,7164729910,8,False,16.625
4,5333075105,11,True,37.037
4,5229476012,1,False,24.191
4,5801184682,2,True,29.08
4,3078294001,6,True,3.604
4,4838145161,1,False,62.963
4,6754608321,4,False,17.985
4,2696280239,7,True,8.442
4,5328004991,6,False,21.622
4,10082798964,6,False,10.72
4,2435100235,1,False,30.764
4,11541421563,5,False,25.359
4,7288107396,3,True,12.93
4,4199369046,8,False,0.901
4,7605329840,2,True,8.342
4,5445581571,7,False,30.864
4,4636208292,1,False,73.073
4,8531675050,7,False,11.545
4,10030609934,5,False,16.083
4,4006608424,9,False,54.421
4,8277866423,7,False,26.292
4,4485707628,5,False,53.987
4,12682618843,3,False,5.539
4,8811725760,6,False,18.685
4,2735019707,1,True,7.007
4,5913180144,2,False,32.933
4,2454242177,9,False,37.037
4,2604394962,1,False,15.749
4,5205081904,1,False,5.906
4,8189958994,8,False,23.557
4,4967810888,2,True,51.752
4,5875535585,9,True,39.706
4,4765564263,9,False,2.002
4,5521781780,2,True,17.017
4,2584172238,6,False,1.627
4,4882821564,4,False,84.318
4,3192668394,0,False,59.96
4,9576671750,9,False,23.156
4,6024684644,6,True,11.945
4,3078294001,3,False,0.5
4,4762946272,4,True,12.512
4,4010069381,2,False,9.71
4,2573424030,3,True,10.81
4,8513603944,8,False,8.742
4,3763643225,7,True,0.4
4,6244675392,0,False,55.4
4,5445581571,9,True,24.024
4,2957808913,5,True,10.11
4,4219909195,3,False,4.171
4,9408800471,6,True,19.253
4,5521781780,3,False,15.749
4,4584426085,5,False,87.721
4,10607095936,6,False,8.675
4,6097994550,0,True,5.038
4,5561024834,4,True,38.417
4,4151403382,4,False,47.748
4,5070310138,6,False,0.3
4,3655906094,1,False,4.705
4,3322503255,1,True,12.112
4,5875242364,2,False,0.334
4,3655906094,9,False,4.705
4,7492398760,9,False,69.036
4,9917882506,7,False,21.522
4,5061117640,5,False,41.041
4,6592821115,2,False,45.875
4,4264435046,6,False,10.611
4,5328004991,2,True,10.811
4,4092992100,2,True,3.003
4,4564478328,6,False,27.895
4,5433090067,5,False,10.744
4,5987365500,5,True,4.838
4,5504913999,6,False,42.709
4,4260763967,8,False,24.725
4,4443526735,3,True,3.754
4,2400715506,5,False,12.112
4,6201488511,2,False,81.381
4,13919236672,7,False,57.637
4,2736413196,5,True,21.021
4,4762946272,5,False,10.511
4,3046900922,2,False,9.443
4,5349969207,0,False,22.122
4,3846475848,2,True,54.588
4,3861485381,1,False,42.142
4,6142416815,6,True,27.06
4,2596300565,3,False,45.879
4,8107573462,7,True,6.139
4,2697261300,1,False,26.426
4,3441428429,8,False,18.719
4,2442307875,2,False,30.9
4,4955723618,4,False,43.544
4,4859057828,3,False,21.221
4,2604394962,5,False,15.449
4,4896969617,0,True,1.802
4,5349766264,5,False,43.168
4,4378803532,0,False,17.351
4,8225502382,3,False,35.869
4,6516459343,2,False,36.47
4,2932897373,0,False,9.142
4,4251505427,1,True,56.023
4,7114553643,0,True,0.133
4,5333075105,7,False,37.037
4,6964124866,2,True,1.768
4,3557498300,7,True,9.743
4,3145698830,4,False,43.443
4,5235909148,3,True,9.209
4,4882414082,4,False,1.8
4,4263096481,4,True,16.917
4,6592821115,6,False,0.167
4,5679866364,2,False,7.741
4,5433090067,2,True,16.55
4,3972259774,6,False,34.535
4,4151403382,0,False,39.539
4,4219909195,0,False,20.52
4,5297811305,3,False,23.323
4,4333544549,5,False,3.704
4,13919236672,9,False,62.208
4,5237219621,5,False,60.16
4,4378803532,7,True,3.27
4,6201488511,0,False,81.381
4,5875242364,7,False,0.133
4,8557532213,1,True,0.534
4,9565310990,1,False,19.219
4,2868183184,1,False,23.656
4,10042935613,10,True,25.192
4,5662041273,5,True,1.201
4,4838113006,8,False,19.987
4,5533380417,1,True,0.534
4,7571121368,6,False,55.389
4,7531285946,9,True,21.455
4,3388598772,5,False,2.202
4,3477387686,5,True,1.735
4,3655906094,7,False,6.907
4,5349766264,6,True,45.796
4,5056964274,7,False,24.524
4,5116088152,4,False,18.218
4,7088595057,9,False,0.033
4,7728559968,3,False,6.273
4,3345608051,8,False,1.8
4,3429509208,7,False,13.597
4,6031805098,4,False,7.674
4,5902452647,4,False,25.559
4,4603484665,7,True,41.667
4,3477387686,6,True,65.732
4,4336654741,1,False,84.184
4,10042935613,3,True,25.192
4,4024008346,0,True,0.601
4,8495272210,6,False,18.552
4,2679328607,2,True,5.205
4,6642268693,5,False,25.6
4,4164771889,3,True,12.579
4,3026084730,2,False,62.429
4,8740703217,6,False,0.234
4,8024853715,1,True,13.805
4,8557532213,7,False,0.634
4,6806999702,8,False,87.321
4,10127533784,6,False,6.139
4,3897746373,9,False,0.234
4,3026084730,6,False,50.35
4,4896969617,9,True,5.305
4,7453733046,4,True,8.942
4,5134317883,7,False,42.0
4,4626085492,1,False,2.769
4,4272084125,10,True,7.407
4,5945172741,7,False,38.92
4,4146348376,0,True,3.971
4,2679328607,11,False,19.686
4,2696280239,9,False,8.442
4,4542882771,3,False,16.266
4,9612838272,3,True,10.444
4,5328616848,2,True,5.706
4,7416295940,0,False,45.746
4,4857781123,2,False,21.221
4,2925298951,9,False,1.21
4,5919180502,0,False,29.496
4,8464056582,2,False,6.167
4,5427285434,1,True,15.048
4,9088819598,0,False,16.049
4,5766018720,3,False,33.667
4,4164771889,1,True,5.806
4,3719793245,3,False,9.643
4,6896884547,5,False,0.834
4,2697261300,4,True,2.502
4,7536230796,2,False,50.542
4,3105728894,7,False,27.728
4,8557532213,4,True,0.534
4,11566980553,8,False,26.927
4,4636208292,3,False,7.007
4,6582763207,5,False,19.811
4,6297019062,3,False,45.279
4,4798585428,1,False,72.639
4,5607805258,1,True,7.5
4,4626085492,9,False,19.152
4,8277866423,3,False,26.292
4,2925298951,1,False,1.21
4,6592821115,11,False,69.583
4,4968805923,5,True,0.2
4,3763643225,8,False,25.359
4,4006608424,2,False,13.847
4,7331927796,8,False,12.946
4,14003541505,5,False,12.141
4,5801184682,0,False,32.92
4,5173770364,1,False,19.419
4,5349766264,9,False,68.277
4,7331927796,3,False,12.946
4,2782658657,6,False,1.201
4,2834146886,0,False,57.557
4,5635265624,9,True,16.583
4,7571121368,8,False,9.643
4,5875535585,0,False,19.853
4,4123915842,5,False,3.604
4,7059877301,2,False,0.133
4,5902452647,2,False,21.421
4,11681746823,6,False,6.607
4,8457210773,7,False,74.92
4,3524939594,7,True,4.922
4,3456030972,2,True,14.715
4,4164771889,7,False,5.806
4,8627074061,8,False,29.363
4,2971556305,5,False,20.52
4,4336654741,6,False,65.465
4,9304738817,4,True,16.267
4,2442307875,6,False,46.5
4,3233088823,6,False,5.606
4,8811725760,3,False,18.685
4,5427285434,2,False,7.741
4,9917882506,2,False,24.024
4,4024008346,7,False,0.601
4,5328004991,0,True,6.807
4,5875535585,6,False,68.702
4,3263908208,5,True,11.25
4,8740703217,5,False,2.836
4,6356067859,0,False,2.836
4,7149153537,3,False,41.275
4,7605329840,7,False,17.751
4,11966080214,3,False,14.014
4,2726497009,2,False,21.021
4,6727904179,0,True,0.334
4,5296635780,1,True,12.512
4,2736413196,0,False,38.204
4,4036955771,7,False,83.016
4,2976913210,5,False,8.008
4,5349766264,2,False,68.277
4,2731071928,6,False,40.507
4,8428551576,2,False,6.139
4,3345608051,5,False,18.0
4,5056964274,8,True,1.435
4,4798585428,4,False,72.639
4,2973331780,3,True,13.413
4,4984331176,6,False,9.71
4,5133787349,1,False,14.264
4,2990321092,7,True,20.621
4,3427674558,6,False,17.351
4,4859057828,0,True,2.803
4,2957808913,6,True,5.005
4,2401167740,7,False,11.778
4,5256928210,7,True,19.92
4,7988210561,4,True,7.04
4,6097994550,4,False,5.539
4,6762389913,4,False,34.868
4,2584172238,7,False,12.012
4,4244817395,1,False,66.12
4,4935987905,2,True,16.283
4,6168295272,9,True,12.804
4,4765717907,8,False,34.034
4,5467727317,2,True,32.966
4,8604794910,2,False,11.945
4,4542882771,7,False,16.266
4,8107573462,1,False,6.139
4,4276006683,8,False,14.214
4,8313365386,7,True,5.917
4,4336654741,2,False,80.28
4,3321261856,7,True,20.22
4,7771650716,4,False,21.955
4,11541421563,7,False,10.177
4,8171216955,8,False,14.348
4,6443512089,7,False,39.373
4,5145526755,4,False,5.772
4,6621511673,5,False,17.751
4,5913180144,4,False,30.53
4,5801184682,4,True,34.12
4,6024684644,3,False,11.945
4,5349969207,5,True,15.015
4,5134317883,9,False,76.5
4,6143391925,6,False,0.133
4,4075791856,3,False,8.16
4,6183104292,2,False,17.651
4,7416295940,8,False,35.636
4,4688219212,1,False,22.022
4,6239210933,1,False,25.359
4,3897746373,4,True,0.133
4,2973331780,8,True,25.826
4,3078294001,4,False,3.604
4,8188651630,6,False,0.667
4,7536230796,0,False,20.0
4,8277866423,8,False,21.0
4,3376544720,5,False,42.793
4,3359075894,8,False,1.92
4,5913180144,6,False,38.639
4,12392885583,8,False,11.578
4,3861485381,7,False,82.015
4,4444192938,3,False,2.002
4,3107742409,4,False,7.708
4,4263096481,7,False,20.921
4,4333544549,0,True,2.903
4,2833209794,2,False,4.238
4,6516459343,0,False,30.13
4,5433090067,6,False,10.844
4,5138093706,2,True,29.73
4,3741143820,7,False,1.702
4,2833209794,8,True,9.209
4,4420239986,0,True,21.288
4,5133787349,7,True,11.887
4,5056964274,5,False,0.801
4,5766018720,2,False,24.258
4,4626085492,7,False,5.572
4,4123915842,1,False,4.505
4,5521781780,7,True,62.729
4,2705374471,4,True,0.968
4,7453733046,10,True,20.787
4,3198533789,9,False,2.903
4,3441428429,6,False,67.034
4,3830567237,2,False,23.423
4,5681946487,8,False,28.028
4,5498331490,5,True,51.167
4,2726497009,3,False,34.735
4,5607805258,0,True,5.875
4,8505893258,1,False,1.043
4,10001787725,1,False,24.157
4,3049351381,4,False,29.529
4,2442307875,3,False,19.5
4,3804148568,6,False,63.83
4,6772999108,9,False,48.782
4,3372023610,6,True,9.81
4,5229476012,2,False,16.884
4,3963997053,1,False,7.774
4,13919236672,5,False,72.151
4,4612723694,4,False,43.911
4,2596300565,5,False,52.318
4,2771402761,9,False,6.006
4,2573424030,10,False,2.802
4,4443526735,8,False,12.512
4,7572859950,1,True,0.534
4,2735019707,5,True,6.64
4,4219909195,5,False,13.08
4,5919180502,7,True,27.16
4,6480018109,5,True,27.417
4,6879924118,2,False,14.715
4,6025238212,6,True,24.157
4,7331927796,5,False,16.25
4,4276006683,6,False,14.214
4,3345608051,6,False,49.2
4,8627074061,7,False,34.434
4,8107573462,8,True,6.139
4,4251505427,0,True,56.023
4,4584426085,3,False,67.868
4,4765717907,7,False,1.768
4,3429509208,4,False,6.59
4,2978295992,6,False,23.875
4,5205081904,0,True,5.906
4,6988748711,4,False,3.337
4,3261079025,4,True,2.703
4,3063380173,2,False,16.282
4,4103088549,6,True,7.608
4,4967810888,6,True,51.752
4,2435633172,4,False,63.797
4,6233408665,1,False,8.542
4,4984417707,6,False,0.1
4,2984974097,7,False,25.225
4,8457210773,3,False,39.76
4,2679328607,7,False,12.012
4,6097994550,6,False,9.977
4,5256928210,4,True,13.113
4,3526597179,6,False,0.567
4,8575881495,5,False,0.234
4,8080432373,1,False,42.476
4,3121571439,7,False,34.735
4,2833209794,7,True,9.543
4,4488066715,4,True,1.902
4,7416295940,5,False,74.041
4,4260763967,7,False,24.024
4,7164729910,3,False,16.333
4,11566930393,4,False,1.802
4,10309542255,3,False,27.561
4,6691330381,3,False,28.595
4,2854886555,0,False,7.207
4,10042935613,1,False,25.526
4,3462517143,1,False,10.844
4,2735019707,2,False,6.64
4,3708066257,8,False,1.502
4,5801184682,5,True,5.2
4,4189100053,4,False,14.915
4,2400715506,3,False,12.112
4,6480018109,7,True,27.417
4,3477387686,8,False,65.532
4,4189100053,5,False,8.709
4,3429509208,2,True,6.59
4,5026660202,9,False,82.215
4,6239210933,9,False,27.361
4,5138093706,6,False,3.203
4,3963997053,4,False,7.774
4,5429688959,2,True,27.761
4,2824317018,1,False,6.272
4,14003541505,4,False,5.593
4,9217939684,5,False,59.542
4,3429509208,8,False,13.597
4,3477387686,4,False,38.038
4,4584426085,6,True,32.432
4,2712662377,5,True,27.427
4,11541421563,8,False,25.359
4,3861485381,2,True,17.885
4,4444192938,1,False,18.385
4,2503404966,10,False,2.803
4,6253433310,4,False,5.439
4,2977504625,6,True,14.542
4,2771402761,6,False,35.369
4,5433090067,3,True,13.814
4,4249756405,5,False,4.88
4,6618792571,5,False,65.899
4,8313365386,4,False,9.667
4,6300775954,9,False,50.684
4,4388652400,3,True,2.302
4,6988748711,8,False,3.337
4,6329954198,7,False,1.935
4,5919180502,2,False,27.16
4,6233408665,2,False,13.413
4,5328004991,1,True,10.811
4,5667931404,4,False,10.477
4,5902452647,1,True,12.045
4,6618792571,8,False,58.992
4,6037747123,6,True,19.853
4,6168295272,7,False,1.043
4,6642268693,4,False,25.6
4,4698622422,2,True,39.806
4,2435100235,2,False,33.0
4,4762946272,7,False,11.812
4,4612723694,6,True,43.81
4,6762389913,6,False,34.868
4,2559262403,7,False,49.424
4,6168716346,8,False,2.035
4,3902997424,4,False,9.71
4,5667931404,6,True,7.541
4,9576671750,2,True,23.123
4,4443526735,4,False,2.753
4,4465235803,5,False,29.93
4,6582763207,3,False,4.046
4,5061117640,3,False,15.716
4,2400171624,6,False,3.803
4,3902997424,5,True,2.002
4,8457210773,0,False,65.68
4,4276006683,3,False,14.414
4,3206694342,0,False,65.566
4,9565310990,3,False,10.844
4,5333075105,3,False,37.037
4,6879924118,4,True,3.537
4,8783897632,3,True,19.553
4,4378803532,10,True,6.773
4,6772999108,2,False,40.574
4,3814690167,5,True,1.401
4,3263908208,9,True,11.25
4,2669452260,0,True,2.002
4,6516459343,9,False,34.935
4,5919180502,3,True,38.805
4,5681946487,5,True,7.641
4,4378803532,12,False,6.773
4,2599937944,3,True,2.002
4,8797589693,8,False,26.393
4,11541421563,6,False,4.338
4,7492398760,11,True,69.036
4,5349766264,10,True,25.776
4,4333544549,2,False,3.303
4,11566930393,3,False,1.869
