cell_id,method,params,n_scored,gold_at_4,mIoP,mIoU,IoP@0.3,IoP@0.5,IoU@0.3,IoU@0.5,zero_width_count,zero_width_rate,clip_anchor_fallback_rate,degenerate_fallback_rate,weight_fallback_rate,mean_width,median_width,p10_width,p90_width,structurally_barred_count,mIoP_<2s,mIoU_<2s,n_<2s,mIoP_2-5s,mIoU_2-5s,n_2-5s,mIoP_5-10s,mIoU_5-10s,n_5-10s,mIoP_>=10s,mIoU_>=10s,n_>=10s,mIoP_CW,mIoU_CW,n_CW,mIoP_CH,mIoU_CH,n_CH,mIoP_TN,mIoU_TN,n_TN,mIoP_TC,mIoU_TC,n_TC,mIoP_TP,mIoU_TP,n_TP,elapsed_ms
1,D,"{""half_width_s"": 0.5}",2685,0.5303538175046555,0.3123098486966773,0.05641604336110736,0.33258845437616386,0.3154562383612663,0.04618249534450652,0.012290502793296089,0,0.0,0.0,,,0.9821046094729118,1.0,1.0,1.0,5,0.12778491594112096,0.0807881024324703,278,0.21172770705988442,0.06415997503106666,1125,0.34723870185553646,0.052608299291392144,731,0.5644329866064969,0.03335997324208509,551,,,0,,,0,,,0,,,0,,,0,
2,D,"{""half_width_s"": 0.8}",2685,0.5303538175046555,0.310862353676956,0.08306634321724406,0.3422718808193669,0.3154562383612663,0.09906890130353818,0.030540037243947857,0,0.0,0.0,,,1.562481616818556,1.6,1.5999999999999943,1.6000000000000014,18,0.11722663960526988,0.09601511106742333,278,0.20984495507509635,0.09474415643167548,1125,0.34671317435008714,0.08287578123632605,731,0.5672477475552901,0.05294293755384275,551,,,0,,,0,,,0,,,0,,,0,
3,D,"{""half_width_s"": 1.1}",2685,0.5303538175046555,0.30968015207241356,0.10588863130303108,0.3512104283054004,0.31359404096834265,0.14450651769087522,0.05288640595903166,0,0.0,0.0,,,2.1369027177549995,2.2,2.1934599999999955,2.200000000000003,42,0.10860757669275024,0.09781359027510614,278,0.20877918743639926,0.12051471040241642,1125,0.346776353298627,0.1120145420967744,731,0.5679277710827592,0.07197298997585916,551,,,0,,,0,,,0,,,0,,,0,
4,D,"{""half_width_s"": 1.5}",2685,0.5303538175046555,0.30787461309016334,0.13134878931709007,0.362756052141527,0.3128491620111732,0.19292364990689012,0.08715083798882682,0,0.0,0.0,,,2.8910909787347867,3.0,2.5939000000000005,3.0,104,0.09792399228801084,0.09305109147460805,278,0.20806699760496183,0.14699793321405816,1125,0.34498786632780837,0.1480749957772366,731,0.5683465765876798,0.09652958095729673,551,,,0,,,0,,,0,,,0,,,0,
5,D,"{""half_width_s"": 2.2}",2685,0.5303538175046555,0.304543642079966,0.16461616716650854,0.3754189944134078,0.30614525139664805,0.24692737430167597,0.12588454376163874,0,0.0,0.0,,,4.184598661280773,4.3999999999999995,3.293900000000001,4.400000000000006,299,0.08807075294925035,0.08588588051725803,278,0.20564515577324016,0.1741288400861184,1125,0.3394540097164252,0.2005540823777827,731,0.5693726466737115,0.137238030386997,551,,,0,,,0,,,0,,,0,,,0,
6,D,"{""half_width_s"": 3.0}",2685,0.5303538175046555,0.29942112821762756,0.18811375500110836,0.3918063314711359,0.28901303538175044,0.2849162011173184,0.1478584729981378,0,0.0,0.0,,,5.624586243906849,6.0,4.0939000000000005,6.0,574,0.08200114719711231,0.08055486529158733,278,0.1982346165076294,0.18281555010263167,1125,0.33300637187700244,0.2423527367305701,731,0.5711575479679872,0.18124108023848878,551,,,0,,,0,,,0,,,0,,,0,
7,D,"{""half_width_s"": 4.0}",2685,0.5303538175046555,0.29199144125097054,0.20393320784178073,0.40037243947858475,0.26517690875232774,0.3191806331471136,0.15046554934823092,0,0.0,0.0,,,7.360166882879155,8.0,5.0939000000000005,8.0,965,0.07974662852632468,0.07877857110941971,278,0.1861028867119161,0.17893870261328615,1125,0.3242695875706696,0.2698546298840052,731,0.5724512540171917,0.23065416588313595,551,,,0,,,0,,,0,,,0,,,0,
8,D,"{""half_width_s"": 6.0}",2685,0.5303538175046555,0.27733438103842145,0.21646410535678728,0.3817504655493482,0.21824953445065176,0.32737430167597764,0.14264432029795157,0,0.0,0.0,,,10.639972684795286,12.0,7.0939000000000005,12.0,1427,0.07582845370567423,0.07556544398193504,278,0.16367550558445917,0.16103393200812188,1125,0.3068079619621034,0.28505656606813135,731,0.5719617767353359,0.30972668992931895,551,,,0,,,0,,,0,,,0,,,0,
9,E,"{""tau"": 0.3, ""w_min"": 0.6, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2841109487382536,0.21291313070134138,0.3743016759776536,0.2446927374301676,0.3139664804469274,0.15456238361266295,0,0.0,0.0,0.0,,11.335716749623614,10.5,3.8038,20.0,1295,0.0860885873982395,0.08303459010424775,278,0.17886918887748834,0.16228417463235262,1125,0.3234826555774152,0.266817013509998,731,0.5466635414722966,0.31029983039367615,551,,,0,,,0,,,0,,,0,,,0,
10,E,"{""tau"": 0.3, ""w_min"": 1.0, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2840900424688557,0.21318033261518535,0.3743016759776536,0.2446927374301676,0.31471135940409684,0.15456238361266295,0,0.0,0.0,0.0,,11.33754425738277,10.5,3.8038,20.0,1295,0.0860885873982395,0.08383395061583848,278,0.17881929258119203,0.16248266663667335,1125,0.3234826555774152,0.2671889853452756,731,0.5466635414722966,0.31029983039367615,551,,,0,,,0,,,0,,,0,,,0,
11,E,"{""tau"": 0.3, ""w_min"": 1.4, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.28387229747839704,0.2133761407613695,0.3743016759776536,0.2446927374301676,0.3143389199255121,0.15456238361266295,0,0.0,0.0,0.0,,11.340060386618772,10.5,3.8038,20.0,1295,0.08593551836410511,0.08432036999097667,278,0.1783374329297324,0.16247046225818312,1125,0.3234826555774152,0.2676968183860041,731,0.5466635414722966,0.310359765528422,551,,,0,,,0,,,0,,,0,,,0,
12,E,"{""tau"": 0.3, ""w_min"": 1.8, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2837192377867476,0.21334139790260087,0.3743016759776536,0.2446927374301676,0.31471135940409684,0.1538175046554935,0,0.0,0.0,0.0,,11.343991605823701,10.5,3.8038,20.0,1296,0.08497374237957017,0.08168979571174416,278,0.1780688027122133,0.1625761862551958,1125,0.323894999745671,0.26837353219491394,731,0.5464043651734508,0.31040404462620896,551,,,0,,,0,,,0,,,0,,,0,
13,E,"{""tau"": 0.3, ""w_min"": 2.2, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2834940444268968,0.2135602819350428,0.3750465549348231,0.2446927374301676,0.31508379888268156,0.15456238361266295,0,0.0,0.0,0.0,,11.347065282893073,10.5,3.8038,20.0,1295,0.08621714018555712,0.08344080271980572,278,0.1777116195125096,0.16259419739249287,1125,0.32302000002068343,0.2683415524084124,731,0.5465697864753903,0.31059286200068975,551,,,0,,,0,,,0,,,0,,,0,
14,E,"{""tau"": 0.4, ""w_min"": 0.6, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2909215326054486,0.19915573483678403,0.3780260707635009,0.25921787709497207,0.29199255121042833,0.1463687150837989,0,0.0,0.0,0.0,,9.390168855432092,8.0,2.3356666666666666,20.0,1036,0.09235341940104479,0.08545554361456369,278,0.1867441339667953,0.15753855217162735,1125,0.33594107575026494,0.2514719968929116,731,0.544083461644375,0.27208639925611117,551,,,0,,,0,,,0,,,0,,,0,
15,E,"{""tau"": 0.4, ""w_min"": 1.0, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.2908675040104228,0.19986237904181367,0.3780260707635009,0.25921787709497207,0.29348230912476725,0.14674115456238362,0,0.0,0.0,0.0,,9.396279394649149,8.0,2.3356666666666666,20.0,1036,0.09158003810608076,0.08755549723297337,278,0.18688429984291455,0.15816359151190107,1125,0.3355299784572251,0.2519877097497216,731,0.5444695936460696,0.2725099876925008,551,,,0,,,0,,,0,,,0,,,0,
