auc_stageA_plus_B_50_50,auc_stageB_alone,class,n_frames,n_graph_nodes,retention_pct_graph_nodes,video_name
0.4237314843996218,0.39664749448471476,Abuse,1412,148,10.48158640226629,Abuse028_x264.mp4
0.7098924936995565,0.7427345519507449,Abuse,1544,162,10.492227979274611,Abuse030_x264.mp4
0.4341790430034632,0.42198781036999994,Arrest,2374,248,10.446503791069924,Arrest001_x264.mp4
0.488104960386655,0.551893072031774,Arrest,3144,333,10.591603053435115,Arrest007_x264.mp4
0.5766261266761528,0.609148348704556,Arrest,3629,378,10.416092587489667,Arrest024_x264.mp4
0.46531711882000504,0.40443009199092483,Arrest,8642,903,10.448970145799583,Arrest030_x264.mp4
0.47252231164841757,0.5305592353745278,Arrest,15835,1648,10.407325544679507,Arrest039_x264.mp4
0.5172359480423175,0.28377159873046953,Arson,6252,652,10.428662827895074,Arson007_x264.mp4
0.5158584492529624,0.47219538897475527,Arson,743,82,11.036339165545087,Arson009_x264.mp4
0.3579273768157337,0.34248606285022676,Arson,3159,336,10.63627730294397,Arson010_x264.mp4
0.4247303238396294,0.43100398558683983,Arson,1266,141,11.137440758293838,Arson011_x264.mp4
0.4629987421383648,0.44889685534591195,Arson,1795,188,10.473537604456824,Arson016_x264.mp4
0.5097876919256714,0.4681064910341076,Arson,842,89,10.570071258907364,Arson018_x264.mp4
0.442818135690776,0.3924406991398699,Arson,8640,900,10.416666666666666,Arson022_x264.mp4
0.43244496046043707,0.40684660287305224,Arson,1437,152,10.57759220598469,Arson035_x264.mp4
0.5655560065609415,0.5005975821363888,Arson,3754,394,10.495471497069792,Arson041_x264.mp4
0.5505177033860897,0.6217701005002116,Assault,8096,844,10.424901185770752,Assault006_x264.mp4
0.49292483863740694,0.35021038311873204,Assault,16177,1684,10.409841132472028,Assault010_x264.mp4
0.5131084490039824,0.5102870343262094,Assault,2288,239,10.445804195804195,Assault011_x264.mp4
,,Normal,2822,295,10.453579021970233,Normal_Videos_003_x264.mp4
,,Normal,450,47,10.444444444444445,Normal_Videos_006_x264.mp4
,,Normal,1053,111,10.54131054131054,Normal_Videos_010_x264.mp4
,,Normal,1499,156,10.406937958639093,Normal_Videos_014_x264.mp4
,,Normal,480,50,10.416666666666666,Normal_Videos_015_x264.mp4
,,Normal,1181,123,10.414902624894157,Normal_Videos_018_x264.mp4
,,Normal,2843,297,10.446711220541681,Normal_Videos_019_x264.mp4
,,Normal,1076,113,10.50185873605948,Normal_Videos_024_x264.mp4
,,Normal,602,64,10.631229235880399,Normal_Videos_025_x264.mp4
,,Normal,4922,513,10.42259244209671,Normal_Videos_027_x264.mp4
,,Normal,1680,175,10.416666666666666,Normal_Videos_033_x264.mp4
,,Normal,1318,138,10.47040971168437,Normal_Videos_034_x264.mp4
,,Normal,1269,133,10.480693459416864,Normal_Videos_041_x264.mp4
,,Normal,3154,329,10.431198478123019,Normal_Videos_042_x264.mp4
,,Normal,1650,172,10.424242424242424,Normal_Videos_048_x264.mp4
,,Normal,4198,438,10.433539780848022,Normal_Videos_050_x264.mp4
,,Normal,2358,246,10.432569974554708,Normal_Videos_051_x264.mp4
,,Normal,1572,165,10.49618320610687,Normal_Videos_056_x264.mp4
,,Normal,1835,195,10.626702997275205,Normal_Videos_059_x264.mp4
,,Normal,355,38,10.704225352112676,Normal_Videos_063_x264.mp4
,,Normal,1068,112,10.486891385767791,Normal_Videos_067_x264.mp4
,,Normal,993,105,10.574018126888218,Normal_Videos_070_x264.mp4
,,Normal,627,66,10.526315789473685,Normal_Videos_100_x264.mp4
,,Normal,467,49,10.492505353319057,Normal_Videos_129_x264.mp4
,,Normal,864,91,10.532407407407407,Normal_Videos_150_x264.mp4
,,Normal,1740,181,10.402298850574713,Normal_Videos_168_x264.mp4
,,Normal,8847,921,10.410308579179382,Normal_Videos_175_x264.mp4
,,Normal,4094,427,10.42989741084514,Normal_Videos_182_x264.mp4
,,Normal,737,77,10.447761194029852,Normal_Videos_189_x264.mp4
,,Normal,2004,210,10.479041916167665,Normal_Videos_196_x264.mp4
,,Normal,2571,268,10.423959548813691,Normal_Videos_203_x264.mp4
,,Normal,5408,563,10.410502958579881,Normal_Videos_210_x264.mp4
,,Normal,1817,190,10.456796917996698,Normal_Videos_217_x264.mp4
,,Normal,6958,725,10.41966082207531,Normal_Videos_224_x264.mp4
,,Normal,4993,520,10.414580412577608,Normal_Videos_246_x264.mp4
,,Normal,8211,854,10.400682011935208,Normal_Videos_247_x264.mp4
,,Normal,1140,119,10.43859649122807,Normal_Videos_248_x264.mp4
,,Normal,405,43,10.617283950617283,Normal_Videos_251_x264.mp4
,,Normal,863,91,10.544611819235225,Normal_Videos_289_x264.mp4
,,Normal,2518,263,10.444797458300238,Normal_Videos_310_x264.mp4
,,Normal,1261,132,10.467882632831087,Normal_Videos_312_x264.mp4
,,Normal,929,97,10.441334768568353,Normal_Videos_317_x264.mp4
,,Normal,209,22,10.526315789473685,Normal_Videos_345_x264.mp4
,,Normal,5403,563,10.420136960947621,Normal_Videos_352_x264.mp4
,,Normal,984,103,10.467479674796747,Normal_Videos_360_x264.mp4
,,Normal,6626,690,10.413522487171747,Normal_Videos_365_x264.mp4
,,Normal,1626,170,10.45510455104551,Normal_Videos_401_x264.mp4
,,Normal,1077,113,10.492107706592387,Normal_Videos_417_x264.mp4
,,Normal,4226,440,10.411736867013724,Normal_Videos_439_x264.mp4
,,Normal,443,48,10.835214446952596,Normal_Videos_452_x264.mp4
,,Normal,5322,555,10.428410372040586,Normal_Videos_453_x264.mp4
,,Normal,4502,470,10.439804531319414,Normal_Videos_478_x264.mp4
,,Normal,11275,1174,10.412416851441241,Normal_Videos_576_x264.mp4
,,Normal,2229,232,10.40825482279049,Normal_Videos_597_x264.mp4
,,Normal,3277,342,10.436374732987488,Normal_Videos_603_x264.mp4
,,Normal,1233,129,10.46228710462287,Normal_Videos_606_x264.mp4
,,Normal,4802,501,10.433152852977926,Normal_Videos_621_x264.mp4
,,Normal,13459,1400,10.401961512742403,Normal_Videos_634_x264.mp4
,,Normal,3600,375,10.416666666666666,Normal_Videos_641_x264.mp4
,,Normal,1815,190,10.46831955922865,Normal_Videos_656_x264.mp4
,,Normal,2410,251,10.4149377593361,Normal_Videos_686_x264.mp4
,,Normal,3625,379,10.455172413793104,Normal_Videos_696_x264.mp4
,,Normal,2523,264,10.463733650416172,Normal_Videos_702_x264.mp4
,,Normal,1694,178,10.50767414403778,Normal_Videos_704_x264.mp4
,,Normal,1797,188,10.461880912632164,Normal_Videos_710_x264.mp4
,,Normal,1255,132,10.51792828685259,Normal_Videos_717_x264.mp4
,,Normal,8731,912,10.445538884434773,Normal_Videos_722_x264.mp4
,,Normal,920,96,10.434782608695652,Normal_Videos_725_x264.mp4
,,Normal,305,33,10.819672131147541,Normal_Videos_745_x264.mp4
,,Normal,1589,166,10.446821900566395,Normal_Videos_758_x264.mp4
,,Normal,1262,142,11.251980982567353,Normal_Videos_778_x264.mp4
,,Normal,2021,211,10.440376051459673,Normal_Videos_780_x264.mp4
,,Normal,3975,414,10.415094339622641,Normal_Videos_781_x264.mp4
,,Normal,5543,578,10.427566299837633,Normal_Videos_782_x264.mp4
,,Normal,9590,998,10.40667361835245,Normal_Videos_783_x264.mp4
,,Normal,6001,625,10.41493084485919,Normal_Videos_798_x264.mp4
,,Normal,2744,287,10.459183673469388,Normal_Videos_801_x264.mp4
,,Normal,930,97,10.43010752688172,Normal_Videos_828_x264.mp4
,,Normal,448,47,10.491071428571429,Normal_Videos_831_x264.mp4
,,Normal,1198,127,10.601001669449081,Normal_Videos_866_x264.mp4
,,Normal,624,66,10.576923076923077,Normal_Videos_867_x264.mp4
,,Normal,2401,250,10.412328196584756,Normal_Videos_868_x264.mp4
,,Normal,2401,251,10.453977509371095,Normal_Videos_869_x264.mp4
,,Normal,601,63,10.482529118136439,Normal_Videos_870_x264.mp4
,,Normal,4358,458,10.509407985314365,Normal_Videos_871_x264.mp4
,,Normal,530,56,10.566037735849056,Normal_Videos_872_x264.mp4
,,Normal,1799,188,10.450250138966092,Normal_Videos_873_x264.mp4
,,Normal,4226,442,10.45906294368197,Normal_Videos_874_x264.mp4
,,Normal,2565,268,10.448343079922028,Normal_Videos_875_x264.mp4
,,Normal,351,37,10.54131054131054,Normal_Videos_876_x264.mp4
,,Normal,10025,1044,10.413965087281795,Normal_Videos_877_x264.mp4
,,Normal,265,29,10.943396226415095,Normal_Videos_878_x264.mp4
,,Normal,1143,120,10.498687664041995,Normal_Videos_879_x264.mp4
,,Normal,18054,1881,10.418743768693918,Normal_Videos_880_x264.mp4
,,Normal,224,24,10.714285714285714,Normal_Videos_881_x264.mp4
,,Normal,1654,173,10.459492140266022,Normal_Videos_882_x264.mp4
,,Normal,326,35,10.736196319018404,Normal_Videos_883_x264.mp4
,,Normal,9029,940,10.410898216856795,Normal_Videos_884_x264.mp4
,,Normal,474,50,10.548523206751055,Normal_Videos_885_x264.mp4
,,Normal,2747,286,10.411357844921733,Normal_Videos_886_x264.mp4
,,Normal,7630,802,10.511140235910878,Normal_Videos_887_x264.mp4
,,Normal,574,61,10.627177700348431,Normal_Videos_888_x264.mp4
,,Normal,314,34,10.828025477707007,Normal_Videos_889_x264.mp4
,,Normal,3579,373,10.42190556021235,Normal_Videos_890_x264.mp4
,,Normal,1800,188,10.444444444444445,Normal_Videos_891_x264.mp4
,,Normal,1770,185,10.451977401129943,Normal_Videos_892_x264.mp4
,,Normal,6374,664,10.417320363978662,Normal_Videos_893_x264.mp4
,,Normal,2575,269,10.446601941747574,Normal_Videos_894_x264.mp4
,,Normal,3030,316,10.429042904290428,Normal_Videos_895_x264.mp4
,,Normal,2303,241,10.46461137646548,Normal_Videos_896_x264.mp4
,,Normal,875,92,10.514285714285714,Normal_Videos_897_x264.mp4
,,Normal,1005,106,10.54726368159204,Normal_Videos_898_x264.mp4
