method_name,window_coverage,fiw,recall_at_1,recall_at_5,recall_at_10,ci_lower,ci_upper
CLIP K-Means Diversity,1.0,0.2638888888888889,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0
CLIP Query Top-K,1.0,0.5416666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
Codec-Only PPR (Ablation),1.0,0.23611111111111113,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0
Hybrid PPR (Ablation),1.0,0.23611111111111113,1.0,1.0,1.0,1.0,1.0
I-frame Prior,1.0,0.2222222222222222,0.0,0.0,0.3333333333333333,1.0,1.0
Luma Difference,1.0,0.23611111111111113,0.3333333333333333,1.0,1.0,1.0,1.0
Classical Optical Flow (Farneback),1.0,0.48611111111111116,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
Coded Packet Size Only,1.0,0.1875,0.0,1.0,1.0,1.0,1.0
Proposed Model (Selection Only),1.0,0.23611111111111113,0.6666666666666666,1.0,1.0,1.0,1.0
Proposed System (Graph Retrieval),1.0,0.23611111111111113,0.6666666666666666,1.0,1.0,1.0,1.0
Random (Mean across 30 seeds),1.0,0.22430555555555554,0.0,0.18888888888888888,0.3333333333333333,1.0,1.0
Scene Change,1.0,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0
Semantic-Only PPR (Ablation),1.0,0.23611111111111113,1.0,1.0,1.0,1.0,1.0
Uniform,1.0,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0
